 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.13702E+03, 0.24264E+00, 0.68327E-02
 0.10000E+01, 0.00000E+00, 0.14082E+03, 0.24651E+00, 0.67876E-02
 0.20000E+01, 0.00000E+00, 0.14352E+03, 0.25069E+00, 0.67181E-02
 0.30000E+01, 0.00000E+00, 0.14119E+03, 0.25364E+00, 0.66026E-02
 0.40000E+01, 0.00000E+00, 0.13514E+03, 0.25858E+00, 0.63820E-02
 0.50000E+01, 0.00000E+00, 0.13783E+03, 0.26335E+00, 0.63077E-02
 0.60000E+01, 0.00000E+00, 0.13676E+03, 0.25952E+00, 0.63840E-02
 0.70000E+01, 0.00000E+00, 0.12968E+03, 0.26111E+00, 0.62355E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.18353E+03, 0.74799E-01, 0.24677E-01
 0.10000E+02, 0.00000E+00, 0.20413E+03, 0.80188E-01, 0.24057E-01
 0.11000E+02, 0.00000E+00, 0.22646E+03, 0.10282E+00, 0.19639E-01
 0.12000E+02, 0.00000E+00, 0.23232E+03, 0.10037E+00, 0.20355E-01
 0.13000E+02, 0.00000E+00, 0.23421E+03, 0.99362E-01, 0.20638E-01
 0.14000E+02, 0.00000E+00, 0.23057E+03, 0.96224E-01, 0.21159E-01
 0.15000E+02, 0.00000E+00, 0.21304E+03, 0.84527E-01, 0.23248E-01
 0.16000E+02, 0.00000E+00, 0.19809E+03, 0.80763E-01, 0.23583E-01
 0.17000E+02, 0.00000E+00, 0.21339E+03, 0.86793E-01, 0.22657E-01
 0.18000E+02, 0.00000E+00, 0.21851E+03, 0.88026E-01, 0.22575E-01
 0.19000E+02, 0.00000E+00, 0.21384E+03, 0.87690E-01, 0.22447E-01
 0.20000E+02, 0.00000E+00, 0.17418E+03, 0.91805E-01, 0.19694E-01
 0.21000E+02, 0.00000E+00, 0.18423E+03, 0.92997E-01, 0.19878E-01
 0.22000E+02, 0.00000E+00, 0.19232E+03, 0.94004E-01, 0.20014E-01
 0.23000E+02, 0.00000E+00, 0.24393E+03, 0.22615E+00, 0.92416E-02
 0.24000E+02, 0.00000E+00, 0.23009E+03, 0.24239E+00, 0.83915E-02
 0.25000E+02, 0.00000E+00, 0.23462E+03, 0.24112E+00, 0.85118E-02
 0.26000E+02, 0.00000E+00, 0.21023E+03, 0.27170E+00, 0.71908E-02
 0.27000E+02, 0.00000E+00, 0.20666E+03, 0.27902E+00, 0.69505E-02
 0.28000E+02, 0.00000E+00, 0.19487E+03, 0.28444E+00, 0.66504E-02
 0.29000E+02, 0.00000E+00, 0.18549E+03, 0.28484E+00, 0.65080E-02
 0.30000E+02, 0.00000E+00, 0.17622E+03, 0.28506E+00, 0.63715E-02
 0.31000E+02, 0.00000E+00, 0.17004E+03, 0.28699E+00, 0.62417E-02
 0.32000E+02, 0.00000E+00, 0.16676E+03, 0.28589E+00, 0.62194E-02
 0.33000E+02, 0.00000E+00, 0.16235E+03, 0.28575E+00, 0.61600E-02
 0.34000E+02, 0.00000E+00, 0.16995E+03, 0.21300E+00, 0.84082E-02
 0.35000E+02, 0.00000E+00, 0.18820E+03, 0.20936E+00, 0.89069E-02
 0.36000E+02, 0.00000E+00, 0.17800E+03, 0.21158E+00, 0.86181E-02
 0.37000E+02, 0.00000E+00, 0.19488E+03, 0.21459E+00, 0.88152E-02
 0.38000E+02, 0.00000E+00, 0.22486E+03, 0.20183E+00, 0.99729E-02
 0.39000E+02, 0.00000E+00, 0.23877E+03, 0.18493E+00, 0.11188E-01
 0.40000E+02, 0.00000E+00, 0.11925E+03, 0.40944E+00, 0.38737E-02
 0.41000E+02, 0.00000E+00, 0.12431E+03, 0.38683E+00, 0.41529E-02
 0.42000E+02, 0.00000E+00, 0.12134E+03, 0.39719E+00, 0.40144E-02
 0.43000E+02, 0.00000E+00, 0.12260E+03, 0.39416E+00, 0.40582E-02
 0.44000E+02, 0.00000E+00, 0.12620E+03, 0.38689E+00, 0.41721E-02
 0.45000E+02, 0.00000E+00, 0.12600E+03, 0.38431E+00, 0.41979E-02
 0.46000E+02, 0.00000E+00, 0.12510E+03, 0.37634E+00, 0.42771E-02
 0.47000E+02, 0.00000E+00, 0.10645E+03, 0.40589E+00, 0.37801E-02
 0.48000E+02, 0.00000E+00, 0.10093E+03, 0.41868E+00, 0.36113E-02
 0.49000E+02, 0.00000E+00, 0.10096E+03, 0.41115E+00, 0.36777E-02
 0.50000E+02, 0.00000E+00, 0.79531E+02, 0.43296E+00, 0.32924E-02
 0.51000E+02, 0.00000E+00, 0.81190E+02, 0.43192E+00, 0.33159E-02
 0.52000E+02, 0.00000E+00, 0.12052E+03, 0.20006E+00, 0.79533E-02
 0.53000E+02, 0.00000E+00, 0.12791E+03, 0.19655E+00, 0.82475E-02
 0.54000E+02, 0.00000E+00, 0.11274E+03, 0.20740E+00, 0.75204E-02
 0.55000E+02, 0.00000E+00, 0.86101E+02, 0.23557E+00, 0.61640E-02
 0.56000E+02, 0.00000E+00, 0.97791E+02, 0.22922E+00, 0.65408E-02
 0.57000E+02, 0.00000E+00, 0.10627E+03, 0.21917E+00, 0.69972E-02
 0.58000E+02, 0.00000E+00, 0.84517E+02, 0.22303E+00, 0.64819E-02
 0.59000E+02, 0.00000E+00, 0.77406E+02, 0.23831E+00, 0.59456E-02
 0.60000E+02, 0.00000E+00, 0.74801E+02, 0.24508E+00, 0.57384E-02
 0.61000E+02, 0.00000E+00, 0.75229E+02, 0.24492E+00, 0.57491E-02
 0.62000E+02, 0.00000E+00, 0.81331E+02, 0.23301E+00, 0.61488E-02
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.14812E+03, 0.83184E-01, 0.20469E-01
 0.65000E+02, 0.00000E+00, 0.13533E+03, 0.81320E-01, 0.20303E-01
