 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.20926E+02, 0.30000E+02, 0.17014E-10
 0.10000E+01, 0.00000E+00, 0.21412E+02, 0.30000E+02, 0.10536E-09
 0.20000E+01, 0.00000E+00, 0.21420E+02, 0.30000E+02, 0.20906E-14
 0.30000E+01, 0.00000E+00, 0.21441E+02, 0.30000E+02, 0.96570E-20
 0.40000E+01, 0.00000E+00, 0.21451E+02, 0.30000E+02, 0.22622E-24
 0.50000E+01, 0.00000E+00, 0.21454E+02, 0.30000E+02, 0.10048E-24
 0.60000E+01, 0.00000E+00, 0.21440E+02, 0.30000E+02, 0.35924E-28
 0.70000E+01, 0.00000E+00, 0.21323E+02, 0.30000E+02, 0.46443E-29
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.17683E+03, 0.10056E+00, 0.18087E-01
 0.10000E+02, 0.00000E+00, 0.17682E+03, 0.10024E+00, 0.18144E-01
 0.11000E+02, 0.00000E+00, 0.86601E+02, 0.28585E+00, 0.50868E-02
 0.12000E+02, 0.00000E+00, 0.85647E+02, 0.29236E+00, 0.49604E-02
 0.13000E+02, 0.00000E+00, 0.81617E+02, 0.31629E+00, 0.45335E-02
 0.14000E+02, 0.00000E+00, 0.75457E+02, 0.34136E+00, 0.41276E-02
 0.15000E+02, 0.00000E+00, 0.60815E+02, 0.44926E+00, 0.30046E-02
 0.16000E+02, 0.00000E+00, 0.52760E+02, 0.53332E+00, 0.24699E-02
 0.17000E+02, 0.00000E+00, 0.83465E+02, 0.24220E+00, 0.59511E-02
 0.18000E+02, 0.00000E+00, 0.92282E+02, 0.23361E+00, 0.63226E-02
 0.19000E+02, 0.00000E+00, 0.85418E+02, 0.24053E+00, 0.60252E-02
 0.20000E+02, 0.00000E+00, 0.47533E+02, 0.56108E+00, 0.23101E-02
 0.21000E+02, 0.00000E+00, 0.64244E+02, 0.38485E+00, 0.35434E-02
 0.22000E+02, 0.00000E+00, 0.59411E+02, 0.40393E+00, 0.33277E-02
 0.23000E+02, 0.00000E+00, 0.25088E+02, 0.68309E+01, 0.17647E-03
 0.24000E+02, 0.00000E+00, 0.24771E+02, 0.87190E+01, 0.13811E-03
 0.25000E+02, 0.00000E+00, 0.24386E+02, 0.10240E+02, 0.11744E-03
 0.26000E+02, 0.00000E+00, 0.24188E+02, 0.10820E+02, 0.11107E-03
 0.27000E+02, 0.00000E+00, 0.23936E+02, 0.11736E+02, 0.10231E-03
 0.28000E+02, 0.00000E+00, 0.22127E+02, 0.30000E+02, 0.14912E-04
 0.29000E+02, 0.00000E+00, 0.22246E+02, 0.30000E+02, 0.12583E-04
 0.30000E+02, 0.00000E+00, 0.22975E+02, 0.24447E+02, 0.48958E-04
 0.31000E+02, 0.00000E+00, 0.22170E+02, 0.30000E+02, 0.90751E-05
 0.32000E+02, 0.00000E+00, 0.21925E+02, 0.30000E+02, 0.23464E-09
 0.33000E+02, 0.00000E+00, 0.21762E+02, 0.30000E+02, 0.37747E-15
 0.34000E+02, 0.00000E+00, 0.21865E+02, 0.30000E+02, 0.98780E-19
 0.35000E+02, 0.00000E+00, 0.21765E+02, 0.30000E+02, 0.89976E-20
 0.36000E+02, 0.00000E+00, 0.22042E+02, 0.30000E+02, 0.10085E-22
 0.37000E+02, 0.00000E+00, 0.21932E+02, 0.30000E+02, 0.17367E-23
 0.38000E+02, 0.00000E+00, 0.22019E+02, 0.30000E+02, 0.57107E-25
