 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.25647E+02, 0.30000E+02, 0.00000E+00
 0.10000E+01, 0.00000E+00, 0.24114E+02, 0.30000E+02, 0.00000E+00
 0.20000E+01, 0.00000E+00, 0.24136E+02, 0.30000E+02, 0.00000E+00
 0.30000E+01, 0.00000E+00, 0.24109E+02, 0.30000E+02, 0.00000E+00
 0.40000E+01, 0.00000E+00, 0.24108E+02, 0.30000E+02, 0.00000E+00
 0.50000E+01, 0.00000E+00, 0.24062E+02, 0.30000E+02, 0.00000E+00
 0.60000E+01, 0.00000E+00, 0.24171E+02, 0.30000E+02, 0.00000E+00
 0.70000E+01, 0.00000E+00, 0.23946E+02, 0.30000E+02, 0.00000E+00
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.22057E+02, 0.30000E+02, 0.00000E+00
 0.10000E+02, 0.00000E+00, 0.22021E+02, 0.30000E+02, 0.00000E+00
 0.11000E+02, 0.00000E+00, 0.22132E+02, 0.30000E+02, 0.00000E+00
 0.12000E+02, 0.00000E+00, 0.21999E+02, 0.30000E+02, 0.00000E+00
 0.13000E+02, 0.00000E+00, 0.21998E+02, 0.30000E+02, 0.00000E+00
 0.14000E+02, 0.00000E+00, 0.21939E+02, 0.30000E+02, 0.00000E+00
 0.15000E+02, 0.00000E+00, 0.21992E+02, 0.30000E+02, 0.00000E+00
 0.16000E+02, 0.00000E+00, 0.21916E+02, 0.30000E+02, 0.00000E+00
 0.17000E+02, 0.00000E+00, 0.21679E+02, 0.30000E+02, 0.00000E+00
 0.18000E+02, 0.00000E+00, 0.21721E+02, 0.30000E+02, 0.00000E+00
 0.19000E+02, 0.00000E+00, 0.21833E+02, 0.30000E+02, 0.00000E+00
 0.20000E+02, 0.00000E+00, 0.21517E+02, 0.30000E+02, 0.00000E+00
 0.21000E+02, 0.00000E+00, 0.21695E+02, 0.30000E+02, 0.00000E+00
 0.22000E+02, 0.00000E+00, 0.20651E+02, 0.30000E+02, 0.00000E+00
 0.23000E+02, 0.00000E+00, 0.23746E+02, 0.30000E+02, 0.00000E+00
 0.24000E+02, 0.00000E+00, 0.23779E+02, 0.30000E+02, 0.00000E+00
 0.25000E+02, 0.00000E+00, 0.23825E+02, 0.30000E+02, 0.00000E+00
