 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.28222E+02, 0.51597E+01, 0.23608E-03
 0.10000E+01, 0.00000E+00, 0.25856E+02, 0.25170E+02, 0.48015E-04
 0.20000E+01, 0.00000E+00, 0.26392E+02, 0.30000E+02, 0.86282E-07
 0.30000E+01, 0.00000E+00, 0.28130E+02, 0.30000E+02, 0.18817E-04
 0.40000E+01, 0.00000E+00, 0.28241E+02, 0.30000E+02, 0.23860E-04
 0.50000E+01, 0.00000E+00, 0.26640E+02, 0.30000E+02, 0.14202E-04
 0.60000E+01, 0.00000E+00, 0.26171E+02, 0.30000E+02, 0.16319E-09
 0.70000E+01, 0.00000E+00, 0.28242E+02, 0.30000E+02, 0.15931E-09
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.15073E+03, 0.95652E-01, 0.17911E-01
 0.10000E+02, 0.00000E+00, 0.14803E+03, 0.93886E-01, 0.18132E-01
 0.11000E+02, 0.00000E+00, 0.98532E+02, 0.22870E+00, 0.65689E-02
 0.12000E+02, 0.00000E+00, 0.97023E+02, 0.23687E+00, 0.63165E-02
 0.13000E+02, 0.00000E+00, 0.88950E+02, 0.26065E+00, 0.56151E-02
 0.14000E+02, 0.00000E+00, 0.81211E+02, 0.28685E+00, 0.49932E-02
 0.15000E+02, 0.00000E+00, 0.77502E+02, 0.28352E+00, 0.49989E-02
 0.16000E+02, 0.00000E+00, 0.69010E+02, 0.31338E+00, 0.44130E-02
 0.17000E+02, 0.00000E+00, 0.10489E+03, 0.17465E+00, 0.87486E-02
 0.18000E+02, 0.00000E+00, 0.11073E+03, 0.17288E+00, 0.89749E-02
 0.19000E+02, 0.00000E+00, 0.10374E+03, 0.17209E+00, 0.88521E-02
 0.20000E+02, 0.00000E+00, 0.89637E+02, 0.21389E+00, 0.68556E-02
 0.21000E+02, 0.00000E+00, 0.93333E+02, 0.20248E+00, 0.73156E-02
 0.22000E+02, 0.00000E+00, 0.91320E+02, 0.20049E+00, 0.73476E-02
 0.23000E+02, 0.00000E+00, 0.52053E+02, 0.55574E+00, 0.23652E-02
 0.24000E+02, 0.00000E+00, 0.44223E+02, 0.80814E+00, 0.15873E-02
 0.25000E+02, 0.00000E+00, 0.32095E+02, 0.26910E+01, 0.45848E-03
 0.26000E+02, 0.00000E+00, 0.35522E+02, 0.15160E+01, 0.82298E-03
 0.27000E+02, 0.00000E+00, 0.34736E+02, 0.14573E+01, 0.85395E-03
 0.28000E+02, 0.00000E+00, 0.50344E+02, 0.57374E+00, 0.22789E-02
 0.29000E+02, 0.00000E+00, 0.51247E+02, 0.56857E+00, 0.23061E-02
 0.30000E+02, 0.00000E+00, 0.47547E+02, 0.67129E+00, 0.19309E-02
 0.31000E+02, 0.00000E+00, 0.46870E+02, 0.65524E+00, 0.19740E-02
 0.32000E+02, 0.00000E+00, 0.46351E+02, 0.66393E+00, 0.19450E-02
 0.33000E+02, 0.00000E+00, 0.36644E+02, 0.11625E+01, 0.10771E-02
 0.34000E+02, 0.00000E+00, 0.59067E+02, 0.40896E+00, 0.32833E-02
 0.35000E+02, 0.00000E+00, 0.60184E+02, 0.40390E+00, 0.33357E-02
 0.36000E+02, 0.00000E+00, 0.62102E+02, 0.39156E+00, 0.34606E-02
 0.37000E+02, 0.00000E+00, 0.62039E+02, 0.40022E+00, 0.33850E-02
 0.38000E+02, 0.00000E+00, 0.54409E+02, 0.48567E+00, 0.27260E-02
 0.39000E+02, 0.00000E+00, 0.36906E+02, 0.98818E+00, 0.12682E-02
 0.40000E+02, 0.00000E+00, 0.47703E+02, 0.68747E+00, 0.18864E-02
 0.41000E+02, 0.00000E+00, 0.54083E+02, 0.56998E+00, 0.23205E-02
 0.42000E+02, 0.00000E+00, 0.46142E+02, 0.83568E+00, 0.15443E-02
 0.43000E+02, 0.00000E+00, 0.44978E+02, 0.83456E+00, 0.15407E-02
 0.44000E+02, 0.00000E+00, 0.41983E+02, 0.95868E+00, 0.13286E-02
 0.45000E+02, 0.00000E+00, 0.45330E+02, 0.79003E+00, 0.16294E-02
 0.46000E+02, 0.00000E+00, 0.43951E+02, 0.85358E+00, 0.15015E-02
 0.47000E+02, 0.00000E+00, 0.35471E+02, 0.15628E+01, 0.79818E-03
 0.48000E+02, 0.00000E+00, 0.43078E+02, 0.89361E+00, 0.14303E-02
 0.49000E+02, 0.00000E+00, 0.44902E+02, 0.78504E+00, 0.16375E-02
 0.50000E+02, 0.00000E+00, 0.41582E+02, 0.88256E+00, 0.14414E-02
 0.51000E+02, 0.00000E+00, 0.41179E+02, 0.85544E+00, 0.14852E-02
 0.52000E+02, 0.00000E+00, 0.69619E+02, 0.51629E+00, 0.26834E-02
 0.53000E+02, 0.00000E+00, 0.72709E+02, 0.50379E+00, 0.27748E-02
 0.54000E+02, 0.00000E+00, 0.70341E+02, 0.51909E+00, 0.26746E-02
 0.55000E+02, 0.00000E+00, 0.68670E+02, 0.51164E+00, 0.27003E-02
 0.56000E+02, 0.00000E+00, 0.73394E+02, 0.46524E+00, 0.30106E-02
 0.57000E+02, 0.00000E+00, 0.67797E+02, 0.46700E+00, 0.29509E-02
 0.58000E+02, 0.00000E+00, 0.99515E+02, 0.44950E+00, 0.33509E-02
 0.59000E+02, 0.00000E+00, 0.10072E+03, 0.44417E+00, 0.34021E-02
 0.60000E+02, 0.00000E+00, 0.97723E+02, 0.45005E+00, 0.33308E-02
 0.61000E+02, 0.00000E+00, 0.10638E+03, 0.41065E+00, 0.37355E-02
 0.62000E+02, 0.00000E+00, 0.11077E+03, 0.38675E+00, 0.40122E-02
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.41738E+03, 0.95194E-01, 0.29319E-01
 0.65000E+02, 0.00000E+00, 0.37557E+03, 0.89267E-01, 0.29373E-01
 0.00000E+00, 0.10000E+01, 0.35878E+02, 0.14034E+01, 0.88998E-03
 0.10000E+01, 0.10000E+01, 0.29735E+02, 0.26564E+01, 0.46085E-03
 0.20000E+01, 0.10000E+01, 0.26560E+02, 0.12976E+02, 0.93358E-04
 0.30000E+01, 0.10000E+01, 0.28689E+02, 0.40114E+01, 0.30413E-03
 0.40000E+01, 0.10000E+01, 0.31632E+02, 0.20428E+01, 0.60302E-03
 0.50000E+01, 0.10000E+01, 0.30188E+02, 0.25691E+01, 0.47722E-03
 0.60000E+01, 0.10000E+01, 0.26488E+02, 0.30000E+02, 0.89101E-06
 0.70000E+01, 0.10000E+01, 0.27167E+02, 0.30000E+02, 0.61065E-08
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.14383E+03, 0.93568E-01, 0.18012E-01
 0.10000E+02, 0.10000E+01, 0.14860E+03, 0.94147E-01, 0.18106E-01
 0.11000E+02, 0.10000E+01, 0.91703E+02, 0.26203E+00, 0.56279E-02
 0.12000E+02, 0.10000E+01, 0.92026E+02, 0.26316E+00, 0.56086E-02
 0.13000E+02, 0.10000E+01, 0.85602E+02, 0.28689E+00, 0.50543E-02
 0.14000E+02, 0.10000E+01, 0.74318E+02, 0.32431E+00, 0.43305E-02
 0.15000E+02, 0.10000E+01, 0.73953E+02, 0.30974E+00, 0.45293E-02
 0.16000E+02, 0.10000E+01, 0.65182E+02, 0.35417E+00, 0.38611E-02
 0.17000E+02, 0.10000E+01, 0.11985E+03, 0.16530E+00, 0.96092E-02
 0.18000E+02, 0.10000E+01, 0.12570E+03, 0.16500E+00, 0.97702E-02
 0.19000E+02, 0.10000E+01, 0.12711E+03, 0.15351E+00, 0.10539E-01
 0.20000E+02, 0.10000E+01, 0.94761E+02, 0.21243E+00, 0.70001E-02
 0.21000E+02, 0.10000E+01, 0.10252E+03, 0.19752E+00, 0.76874E-02
 0.22000E+02, 0.10000E+01, 0.10018E+03, 0.19673E+00, 0.76702E-02
 0.23000E+02, 0.10000E+01, 0.44415E+02, 0.68291E+00, 0.18795E-02
 0.24000E+02, 0.10000E+01, 0.42245E+02, 0.78059E+00, 0.16331E-02
 0.25000E+02, 0.10000E+01, 0.35038E+02, 0.14220E+01, 0.87601E-03
 0.26000E+02, 0.10000E+01, 0.34727E+02, 0.13738E+01, 0.90581E-03
 0.27000E+02, 0.10000E+01, 0.39561E+02, 0.93078E+00, 0.13579E-02
 0.28000E+02, 0.10000E+01, 0.44619E+02, 0.71156E+00, 0.18050E-02
 0.29000E+02, 0.10000E+01, 0.42342E+02, 0.84061E+00, 0.15169E-02
 0.30000E+02, 0.10000E+01, 0.40505E+02, 0.95947E+00, 0.13213E-02
 0.31000E+02, 0.10000E+01, 0.43664E+02, 0.75869E+00, 0.16878E-02
 0.32000E+02, 0.10000E+01, 0.41970E+02, 0.82359E+00, 0.15465E-02
 0.33000E+02, 0.10000E+01, 0.35581E+02, 0.12235E+01, 0.10199E-02
 0.34000E+02, 0.10000E+01, 0.55622E+02, 0.46944E+00, 0.28307E-02
 0.35000E+02, 0.10000E+01, 0.58349E+02, 0.43805E+00, 0.30587E-02
 0.36000E+02, 0.10000E+01, 0.52230E+02, 0.51675E+00, 0.25450E-02
 0.37000E+02, 0.10000E+01, 0.51472E+02, 0.53122E+00, 0.24699E-02
 0.38000E+02, 0.10000E+01, 0.49453E+02, 0.54842E+00, 0.23776E-02
 0.39000E+02, 0.10000E+01, 0.39242E+02, 0.84516E+00, 0.14940E-02
 0.40000E+02, 0.10000E+01, 0.28754E+02, 0.29789E+01, 0.40963E-03
 0.41000E+02, 0.10000E+01, 0.30710E+02, 0.23906E+01, 0.51375E-03
 0.42000E+02, 0.10000E+01, 0.32718E+02, 0.17343E+01, 0.71284E-03
 0.43000E+02, 0.10000E+01, 0.42782E+02, 0.86596E+00, 0.14746E-02
 0.44000E+02, 0.10000E+01, 0.37908E+02, 0.11394E+01, 0.11034E-02
 0.45000E+02, 0.10000E+01, 0.35666E+02, 0.13388E+01, 0.93230E-03
 0.46000E+02, 0.10000E+01, 0.34106E+02, 0.14706E+01, 0.84446E-03
 0.47000E+02, 0.10000E+01, 0.34422E+02, 0.14601E+01, 0.85142E-03
 0.48000E+02, 0.10000E+01, 0.38631E+02, 0.10818E+01, 0.11649E-02
 0.49000E+02, 0.10000E+01, 0.39959E+02, 0.99532E+00, 0.12715E-02
 0.50000E+02, 0.10000E+01, 0.41630E+02, 0.89286E+00, 0.14250E-02
 0.51000E+02, 0.10000E+01, 0.41869E+02, 0.82567E+00, 0.15421E-02
 0.52000E+02, 0.10000E+01, 0.67043E+02, 0.54093E+00, 0.25419E-02
 0.53000E+02, 0.10000E+01, 0.69451E+02, 0.51903E+00, 0.26679E-02
 0.54000E+02, 0.10000E+01, 0.63724E+02, 0.57626E+00, 0.23628E-02
 0.55000E+02, 0.10000E+01, 0.72992E+02, 0.46886E+00, 0.29839E-02
 0.56000E+02, 0.10000E+01, 0.70029E+02, 0.46356E+00, 0.29922E-02
 0.57000E+02, 0.10000E+01, 0.75227E+02, 0.45400E+00, 0.31015E-02
 0.58000E+02, 0.10000E+01, 0.84070E+02, 0.50785E+00, 0.28430E-02
 0.59000E+02, 0.10000E+01, 0.91822E+02, 0.47177E+00, 0.31268E-02
 0.60000E+02, 0.10000E+01, 0.10289E+03, 0.42885E+00, 0.35442E-02
 0.61000E+02, 0.10000E+01, 0.10409E+03, 0.41637E+00, 0.36619E-02
 0.62000E+02, 0.10000E+01, 0.11228E+03, 0.39117E+00, 0.39825E-02
 0.63000E+02, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.10000E+01, 0.40594E+03, 0.93743E-01, 0.29280E-01
 0.65000E+02, 0.10000E+01, 0.34994E+03, 0.85940E-01, 0.29304E-01
 0.00000E+00, 0.20000E+01, 0.37456E+02, 0.12425E+01, 0.10104E-02
 0.10000E+01, 0.20000E+01, 0.34281E+02, 0.16461E+01, 0.75487E-03
 0.20000E+01, 0.20000E+01, 0.31496E+02, 0.20771E+01, 0.59281E-03
 0.30000E+01, 0.20000E+01, 0.32009E+02, 0.19801E+01, 0.62289E-03
 0.40000E+01, 0.20000E+01, 0.32478E+02, 0.19584E+01, 0.63078E-03
 0.50000E+01, 0.20000E+01, 0.32316E+02, 0.18600E+01, 0.66379E-03
 0.60000E+01, 0.20000E+01, 0.26498E+02, 0.30000E+02, 0.26658E-04
 0.70000E+01, 0.20000E+01, 0.26789E+02, 0.30000E+02, 0.25943E-07
 0.80000E+01, 0.20000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.20000E+01, 0.15452E+03, 0.95961E-01, 0.18013E-01
 0.10000E+02, 0.20000E+01, 0.19632E+03, 0.10138E+00, 0.18718E-01
 0.11000E+02, 0.20000E+01, 0.83818E+02, 0.28671E+00, 0.50323E-02
 0.12000E+02, 0.20000E+01, 0.88497E+02, 0.27756E+00, 0.52662E-02
 0.13000E+02, 0.20000E+01, 0.82151E+02, 0.30016E+00, 0.47844E-02
 0.14000E+02, 0.20000E+01, 0.66774E+02, 0.36868E+00, 0.37265E-02
 0.15000E+02, 0.20000E+01, 0.68784E+02, 0.34666E+00, 0.39868E-02
 0.16000E+02, 0.20000E+01, 0.63637E+02, 0.37790E+00, 0.36021E-02
 0.17000E+02, 0.20000E+01, 0.13081E+03, 0.16044E+00, 0.10176E-01
 0.18000E+02, 0.20000E+01, 0.14105E+03, 0.15351E+00, 0.10906E-01
 0.19000E+02, 0.20000E+01, 0.13763E+03, 0.14691E+00, 0.11301E-01
 0.20000E+02, 0.20000E+01, 0.96966E+02, 0.20623E+00, 0.72536E-02
 0.21000E+02, 0.20000E+01, 0.10490E+03, 0.19544E+00, 0.78184E-02
 0.22000E+02, 0.20000E+01, 0.10707E+03, 0.18792E+00, 0.81777E-02
 0.23000E+02, 0.20000E+01, 0.31154E+02, 0.17920E+01, 0.68636E-03
 0.24000E+02, 0.20000E+01, 0.30845E+02, 0.20211E+01, 0.60794E-03
 0.25000E+02, 0.20000E+01, 0.32766E+02, 0.16908E+01, 0.73127E-03
 0.26000E+02, 0.20000E+01, 0.33538E+02, 0.15440E+01, 0.80283E-03
 0.27000E+02, 0.20000E+01, 0.38243E+02, 0.10409E+01, 0.12091E-02
 0.28000E+02, 0.20000E+01, 0.36371E+02, 0.12521E+01, 0.99914E-03
 0.29000E+02, 0.20000E+01, 0.34341E+02, 0.15190E+01, 0.81818E-03
 0.30000E+02, 0.20000E+01, 0.32680E+02, 0.18187E+01, 0.67968E-03
 0.31000E+02, 0.20000E+01, 0.36822E+02, 0.11946E+01, 0.10488E-02
 0.32000E+02, 0.20000E+01, 0.37169E+02, 0.11392E+01, 0.11010E-02
 0.33000E+02, 0.20000E+01, 0.37892E+02, 0.10482E+01, 0.11994E-02
 0.34000E+02, 0.20000E+01, 0.49469E+02, 0.56852E+00, 0.22936E-02
 0.35000E+02, 0.20000E+01, 0.49840E+02, 0.56606E+00, 0.23062E-02
 0.36000E+02, 0.20000E+01, 0.46833E+02, 0.63988E+00, 0.20212E-02
 0.37000E+02, 0.20000E+01, 0.52663E+02, 0.50645E+00, 0.26002E-02
 0.38000E+02, 0.20000E+01, 0.52314E+02, 0.49690E+00, 0.26473E-02
 0.39000E+02, 0.20000E+01, 0.51830E+02, 0.49469E+00, 0.26552E-02
 0.40000E+02, 0.20000E+01, 0.26109E+02, 0.57430E+01, 0.21061E-03
 0.41000E+02, 0.20000E+01, 0.25740E+02, 0.54643E+01, 0.22108E-03
 0.42000E+02, 0.20000E+01, 0.28149E+02, 0.32346E+01, 0.37649E-03
 0.43000E+02, 0.20000E+01, 0.30069E+02, 0.23343E+01, 0.52503E-03
 0.44000E+02, 0.20000E+01, 0.32474E+02, 0.17680E+01, 0.69868E-03
 0.45000E+02, 0.20000E+01, 0.33068E+02, 0.16783E+01, 0.73744E-03
 0.46000E+02, 0.20000E+01, 0.33189E+02, 0.16520E+01, 0.74949E-03
 0.47000E+02, 0.20000E+01, 0.34687E+02, 0.14529E+01, 0.85635E-03
 0.48000E+02, 0.20000E+01, 0.38295E+02, 0.11205E+01, 0.11234E-02
 0.49000E+02, 0.20000E+01, 0.36706E+02, 0.12748E+01, 0.98243E-03
 0.50000E+02, 0.20000E+01, 0.40976E+02, 0.91699E+00, 0.13846E-02
 0.51000E+02, 0.20000E+01, 0.42140E+02, 0.82629E+00, 0.15422E-02
 0.52000E+02, 0.20000E+01, 0.61787E+02, 0.58645E+00, 0.23084E-02
 0.53000E+02, 0.20000E+01, 0.61995E+02, 0.58513E+00, 0.23151E-02
 0.54000E+02, 0.20000E+01, 0.63703E+02, 0.54547E+00, 0.24960E-02
 0.55000E+02, 0.20000E+01, 0.69399E+02, 0.47863E+00, 0.28927E-02
 0.56000E+02, 0.20000E+01, 0.74607E+02, 0.46252E+00, 0.30389E-02
 0.57000E+02, 0.20000E+01, 0.79040E+02, 0.45082E+00, 0.31576E-02
 0.58000E+02, 0.20000E+01, 0.78111E+02, 0.53937E+00, 0.26322E-02
 0.59000E+02, 0.20000E+01, 0.93271E+02, 0.45682E+00, 0.32420E-02
 0.60000E+02, 0.20000E+01, 0.92587E+02, 0.45677E+00, 0.32363E-02
 0.61000E+02, 0.20000E+01, 0.91150E+02, 0.48092E+00, 0.30617E-02
 0.62000E+02, 0.20000E+01, 0.10804E+03, 0.40921E+00, 0.37651E-02
 0.63000E+02, 0.20000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.20000E+01, 0.46007E+03, 0.98178E-01, 0.30185E-01
 0.65000E+02, 0.20000E+01, 0.49390E+03, 0.10423E+00, 0.29746E-01
 0.00000E+00, 0.30000E+01, 0.36915E+02, 0.12544E+01, 0.99911E-03
 0.10000E+01, 0.30000E+01, 0.35722E+02, 0.14389E+01, 0.86759E-03
 0.20000E+01, 0.30000E+01, 0.35763E+02, 0.14004E+01, 0.89159E-03
 0.30000E+01, 0.30000E+01, 0.34617E+02, 0.15194E+01, 0.81871E-03
 0.40000E+01, 0.30000E+01, 0.34992E+02, 0.14741E+01, 0.84492E-03
 0.50000E+01, 0.30000E+01, 0.34635E+02, 0.14870E+01, 0.83658E-03
 0.60000E+01, 0.30000E+01, 0.32365E+02, 0.18029E+01, 0.68491E-03
 0.70000E+01, 0.30000E+01, 0.24655E+02, 0.21174E+02, 0.56847E-04
 0.80000E+01, 0.30000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.30000E+01, 0.22740E+03, 0.11091E+00, 0.18242E-01
 0.10000E+02, 0.30000E+01, 0.22526E+03, 0.10829E+00, 0.18603E-01
 0.11000E+02, 0.30000E+01, 0.10556E+03, 0.22731E+00, 0.67338E-02
 0.12000E+02, 0.30000E+01, 0.90004E+02, 0.27382E+00, 0.53605E-02
 0.13000E+02, 0.30000E+01, 0.79147E+02, 0.30715E+00, 0.46360E-02
 0.14000E+02, 0.30000E+01, 0.67165E+02, 0.37018E+00, 0.37158E-02
 0.15000E+02, 0.30000E+01, 0.58209E+02, 0.43787E+00, 0.30587E-02
 0.16000E+02, 0.30000E+01, 0.59633E+02, 0.42269E+00, 0.31821E-02
 0.17000E+02, 0.30000E+01, 0.13435E+03, 0.16395E+00, 0.10046E-01
 0.18000E+02, 0.30000E+01, 0.15322E+03, 0.14940E+00, 0.11535E-01
 0.19000E+02, 0.30000E+01, 0.14970E+03, 0.14045E+00, 0.12169E-01
 0.20000E+02, 0.30000E+01, 0.11673E+03, 0.17560E+00, 0.89739E-02
 0.21000E+02, 0.30000E+01, 0.11317E+03, 0.18330E+00, 0.85182E-02
 0.22000E+02, 0.30000E+01, 0.11793E+03, 0.17050E+00, 0.92705E-02
 0.23000E+02, 0.30000E+01, 0.27946E+02, 0.29461E+01, 0.41308E-03
 0.24000E+02, 0.30000E+01, 0.30402E+02, 0.22370E+01, 0.54845E-03
 0.25000E+02, 0.30000E+01, 0.31855E+02, 0.19166E+01, 0.64321E-03
 0.26000E+02, 0.30000E+01, 0.32878E+02, 0.17210E+01, 0.71870E-03
 0.27000E+02, 0.30000E+01, 0.35224E+02, 0.13649E+01, 0.91320E-03
 0.28000E+02, 0.30000E+01, 0.34997E+02, 0.13552E+01, 0.91900E-03
 0.29000E+02, 0.30000E+01, 0.31037E+02, 0.21272E+01, 0.57798E-03
 0.30000E+02, 0.30000E+01, 0.32440E+02, 0.18271E+01, 0.67603E-03
 0.31000E+02, 0.30000E+01, 0.32675E+02, 0.17431E+01, 0.70914E-03
 0.32000E+02, 0.30000E+01, 0.34150E+02, 0.14909E+01, 0.83310E-03
 0.33000E+02, 0.30000E+01, 0.37404E+02, 0.10719E+01, 0.11710E-02
 0.34000E+02, 0.30000E+01, 0.46038E+02, 0.64070E+00, 0.20136E-02
 0.35000E+02, 0.30000E+01, 0.48355E+02, 0.59919E+00, 0.21687E-02
 0.36000E+02, 0.30000E+01, 0.46064E+02, 0.66436E+00, 0.19420E-02
 0.37000E+02, 0.30000E+01, 0.51417E+02, 0.52291E+00, 0.25087E-02
 0.38000E+02, 0.30000E+01, 0.52943E+02, 0.48550E+00, 0.27148E-02
 0.39000E+02, 0.30000E+01, 0.60689E+02, 0.41193E+00, 0.32756E-02
 0.40000E+02, 0.30000E+01, 0.30849E+02, 0.24218E+01, 0.50735E-03
 0.41000E+02, 0.30000E+01, 0.25837E+02, 0.54011E+01, 0.22374E-03
 0.42000E+02, 0.30000E+01, 0.26598E+02, 0.45783E+01, 0.26463E-03
 0.43000E+02, 0.30000E+01, 0.27574E+02, 0.36434E+01, 0.33361E-03
 0.44000E+02, 0.30000E+01, 0.29380E+02, 0.26397E+01, 0.46322E-03
 0.45000E+02, 0.30000E+01, 0.32222E+02, 0.18446E+01, 0.66911E-03
 0.46000E+02, 0.30000E+01, 0.31904E+02, 0.19089E+01, 0.64590E-03
 0.47000E+02, 0.30000E+01, 0.33235E+02, 0.17163E+01, 0.72154E-03
 0.48000E+02, 0.30000E+01, 0.35413E+02, 0.13943E+01, 0.89445E-03
 0.49000E+02, 0.30000E+01, 0.36269E+02, 0.13233E+01, 0.94508E-03
 0.50000E+02, 0.30000E+01, 0.40163E+02, 0.95264E+00, 0.13293E-02
 0.51000E+02, 0.30000E+01, 0.41522E+02, 0.85368E+00, 0.14898E-02
 0.52000E+02, 0.30000E+01, 0.60038E+02, 0.61006E+00, 0.22075E-02
 0.53000E+02, 0.30000E+01, 0.59846E+02, 0.60911E+00, 0.22096E-02
 0.54000E+02, 0.30000E+01, 0.62146E+02, 0.57182E+00, 0.23700E-02
 0.55000E+02, 0.30000E+01, 0.68745E+02, 0.50668E+00, 0.27273E-02
 0.56000E+02, 0.30000E+01, 0.72603E+02, 0.49018E+00, 0.28510E-02
 0.57000E+02, 0.30000E+01, 0.83925E+02, 0.42366E+00, 0.34066E-02
 0.58000E+02, 0.30000E+01, 0.81182E+02, 0.51793E+00, 0.27651E-02
 0.59000E+02, 0.30000E+01, 0.86469E+02, 0.48309E+00, 0.30088E-02
 0.60000E+02, 0.30000E+01, 0.84021E+02, 0.49660E+00, 0.29070E-02
 0.61000E+02, 0.30000E+01, 0.83916E+02, 0.53047E+00, 0.27206E-02
 0.62000E+02, 0.30000E+01, 0.10813E+03, 0.41390E+00, 0.37232E-02
 0.63000E+02, 0.30000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.30000E+01, 0.63664E+03, 0.11506E+00, 0.31959E-01
 0.65000E+02, 0.30000E+01, 0.68811E+03, 0.12647E+00, 0.30721E-01
 0.00000E+00, 0.40000E+01, 0.39285E+02, 0.10194E+01, 0.12388E-02
 0.10000E+01, 0.40000E+01, 0.38133E+02, 0.11831E+01, 0.10634E-02
 0.20000E+01, 0.40000E+01, 0.36628E+02, 0.12976E+01, 0.96488E-03
 0.30000E+01, 0.40000E+01, 0.37193E+02, 0.12173E+01, 0.10304E-02
 0.40000E+01, 0.40000E+01, 0.36228E+02, 0.13045E+01, 0.95856E-03
 0.50000E+01, 0.40000E+01, 0.33863E+02, 0.16053E+01, 0.77301E-03
 0.60000E+01, 0.40000E+01, 0.33384E+02, 0.16427E+01, 0.75423E-03
 0.70000E+01, 0.40000E+01, 0.26358E+02, 0.48347E+01, 0.25039E-03
 0.80000E+01, 0.40000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.40000E+01, 0.23876E+03, 0.11326E+00, 0.18268E-01
 0.10000E+02, 0.40000E+01, 0.23514E+03, 0.11108E+00, 0.18495E-01
 0.11000E+02, 0.40000E+01, 0.12671E+03, 0.19569E+00, 0.82588E-02
 0.12000E+02, 0.40000E+01, 0.10538E+03, 0.23381E+00, 0.65434E-02
 0.13000E+02, 0.40000E+01, 0.85279E+02, 0.28534E+00, 0.50770E-02
 0.14000E+02, 0.40000E+01, 0.72193E+02, 0.34604E+00, 0.40337E-02
 0.15000E+02, 0.40000E+01, 0.57153E+02, 0.46116E+00, 0.28949E-02
 0.16000E+02, 0.40000E+01, 0.58422E+02, 0.42031E+00, 0.31885E-02
 0.17000E+02, 0.40000E+01, 0.15652E+03, 0.14892E+00, 0.11661E-01
 0.18000E+02, 0.40000E+01, 0.16924E+03, 0.14057E+00, 0.12720E-01
 0.19000E+02, 0.40000E+01, 0.16216E+03, 0.13495E+00, 0.13037E-01
 0.20000E+02, 0.40000E+01, 0.12257E+03, 0.16875E+00, 0.94780E-02
 0.21000E+02, 0.40000E+01, 0.12547E+03, 0.16664E+00, 0.96685E-02
 0.22000E+02, 0.40000E+01, 0.12987E+03, 0.15663E+00, 0.10400E-01
 0.23000E+02, 0.40000E+01, 0.28580E+02, 0.26429E+01, 0.46145E-03
 0.24000E+02, 0.40000E+01, 0.29218E+02, 0.27266E+01, 0.44822E-03
 0.25000E+02, 0.40000E+01, 0.29488E+02, 0.27715E+01, 0.44136E-03
 0.26000E+02, 0.40000E+01, 0.30796E+02, 0.22991E+01, 0.53433E-03
 0.27000E+02, 0.40000E+01, 0.30780E+02, 0.23442E+01, 0.52402E-03
 0.28000E+02, 0.40000E+01, 0.30939E+02, 0.23491E+01, 0.52321E-03
 0.29000E+02, 0.40000E+01, 0.30772E+02, 0.22875E+01, 0.53700E-03
 0.30000E+02, 0.40000E+01, 0.31406E+02, 0.20740E+01, 0.59351E-03
 0.31000E+02, 0.40000E+01, 0.31194E+02, 0.21086E+01, 0.58337E-03
 0.32000E+02, 0.40000E+01, 0.32656E+02, 0.17524E+01, 0.70531E-03
 0.33000E+02, 0.40000E+01, 0.36269E+02, 0.11659E+01, 0.10726E-02
 0.34000E+02, 0.40000E+01, 0.53231E+02, 0.56453E+00, 0.23368E-02
 0.35000E+02, 0.40000E+01, 0.48048E+02, 0.61610E+00, 0.21072E-02
 0.36000E+02, 0.40000E+01, 0.48120E+02, 0.60275E+00, 0.21543E-02
