 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.20841E+02, 0.30000E+02, 0.00000E+00
 0.10000E+01, 0.00000E+00, 0.22916E+02, 0.30000E+02, 0.00000E+00
 0.20000E+01, 0.00000E+00, 0.22234E+02, 0.30000E+02, 0.00000E+00
 0.30000E+01, 0.00000E+00, 0.22082E+02, 0.30000E+02, 0.00000E+00
 0.40000E+01, 0.00000E+00, 0.21912E+02, 0.30000E+02, 0.00000E+00
 0.50000E+01, 0.00000E+00, 0.22149E+02, 0.30000E+02, 0.00000E+00
 0.60000E+01, 0.00000E+00, 0.22292E+02, 0.30000E+02, 0.00000E+00
 0.70000E+01, 0.00000E+00, 0.22399E+02, 0.30000E+02, 0.00000E+00
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.22047E+02, 0.30000E+02, 0.00000E+00
 0.10000E+02, 0.00000E+00, 0.22022E+02, 0.30000E+02, 0.00000E+00
 0.11000E+02, 0.00000E+00, 0.21897E+02, 0.30000E+02, 0.00000E+00
 0.12000E+02, 0.00000E+00, 0.22004E+02, 0.30000E+02, 0.00000E+00
 0.13000E+02, 0.00000E+00, 0.22002E+02, 0.30000E+02, 0.00000E+00
 0.14000E+02, 0.00000E+00, 0.21953E+02, 0.30000E+02, 0.00000E+00
 0.15000E+02, 0.00000E+00, 0.22020E+02, 0.30000E+02, 0.00000E+00
 0.16000E+02, 0.00000E+00, 0.22957E+02, 0.30000E+02, 0.00000E+00
 0.17000E+02, 0.00000E+00, 0.22660E+02, 0.30000E+02, 0.00000E+00
 0.18000E+02, 0.00000E+00, 0.22604E+02, 0.30000E+02, 0.00000E+00
 0.19000E+02, 0.00000E+00, 0.23041E+02, 0.30000E+02, 0.00000E+00
 0.20000E+02, 0.00000E+00, 0.22152E+02, 0.30000E+02, 0.00000E+00
 0.21000E+02, 0.00000E+00, 0.22233E+02, 0.30000E+02, 0.00000E+00
 0.22000E+02, 0.00000E+00, 0.21939E+02, 0.30000E+02, 0.00000E+00
 0.23000E+02, 0.00000E+00, 0.21620E+02, 0.30000E+02, 0.00000E+00
 0.24000E+02, 0.00000E+00, 0.21740E+02, 0.30000E+02, 0.00000E+00
 0.25000E+02, 0.00000E+00, 0.21704E+02, 0.30000E+02, 0.00000E+00
 0.26000E+02, 0.00000E+00, 0.21593E+02, 0.30000E+02, 0.00000E+00
 0.27000E+02, 0.00000E+00, 0.21615E+02, 0.30000E+02, 0.00000E+00
 0.28000E+02, 0.00000E+00, 0.21716E+02, 0.30000E+02, 0.00000E+00
 0.29000E+02, 0.00000E+00, 0.21072E+02, 0.30000E+02, 0.00000E+00
 0.30000E+02, 0.00000E+00, 0.21612E+02, 0.30000E+02, 0.00000E+00
 0.31000E+02, 0.00000E+00, 0.21874E+02, 0.30000E+02, 0.00000E+00
 0.32000E+02, 0.00000E+00, 0.21915E+02, 0.30000E+02, 0.00000E+00
 0.33000E+02, 0.00000E+00, 0.21659E+02, 0.30000E+02, 0.00000E+00
 0.34000E+02, 0.00000E+00, 0.21528E+02, 0.30000E+02, 0.13915E-27
 0.35000E+02, 0.00000E+00, 0.21523E+02, 0.30000E+02, 0.53761E-29
 0.36000E+02, 0.00000E+00, 0.21260E+02, 0.30000E+02, 0.88779E-32
 0.37000E+02, 0.00000E+00, 0.21689E+02, 0.30000E+02, 0.43672E-34
 0.38000E+02, 0.00000E+00, 0.21607E+02, 0.30000E+02, 0.00000E+00
 0.39000E+02, 0.00000E+00, 0.21253E+02, 0.30000E+02, 0.00000E+00
 0.40000E+02, 0.00000E+00, 0.21708E+02, 0.30000E+02, 0.87919E-25
 0.41000E+02, 0.00000E+00, 0.21520E+02, 0.30000E+02, 0.22392E-24
 0.42000E+02, 0.00000E+00, 0.21264E+02, 0.30000E+02, 0.41809E-27
 0.43000E+02, 0.00000E+00, 0.21685E+02, 0.30000E+02, 0.21616E-29
 0.44000E+02, 0.00000E+00, 0.21536E+02, 0.30000E+02, 0.86781E-33
 0.45000E+02, 0.00000E+00, 0.21719E+02, 0.30000E+02, 0.98811E-36
 0.46000E+02, 0.00000E+00, 0.21618E+02, 0.30000E+02, 0.00000E+00
 0.47000E+02, 0.00000E+00, 0.21778E+02, 0.30000E+02, 0.00000E+00
 0.48000E+02, 0.00000E+00, 0.21789E+02, 0.30000E+02, 0.00000E+00
 0.49000E+02, 0.00000E+00, 0.21667E+02, 0.30000E+02, 0.00000E+00
 0.50000E+02, 0.00000E+00, 0.21617E+02, 0.30000E+02, 0.00000E+00
 0.51000E+02, 0.00000E+00, 0.21829E+02, 0.30000E+02, 0.00000E+00
 0.52000E+02, 0.00000E+00, 0.21115E+02, 0.30000E+02, 0.14729E-09
 0.53000E+02, 0.00000E+00, 0.21464E+02, 0.30000E+02, 0.51557E-09
 0.54000E+02, 0.00000E+00, 0.20959E+02, 0.30000E+02, 0.73006E-09
 0.55000E+02, 0.00000E+00, 0.21187E+02, 0.30000E+02, 0.82569E-12
 0.56000E+02, 0.00000E+00, 0.21546E+02, 0.30000E+02, 0.16307E-12
 0.57000E+02, 0.00000E+00, 0.22098E+02, 0.30000E+02, 0.52126E-15
 0.58000E+02, 0.00000E+00, 0.38509E+02, 0.13957E+01, 0.90252E-03
 0.59000E+02, 0.00000E+00, 0.39995E+02, 0.12888E+01, 0.98204E-03
 0.60000E+02, 0.00000E+00, 0.40189E+02, 0.12706E+01, 0.99673E-03
 0.61000E+02, 0.00000E+00, 0.31188E+02, 0.23229E+01, 0.52954E-03
 0.62000E+02, 0.00000E+00, 0.37524E+02, 0.14773E+01, 0.84996E-03
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.30394E+03, 0.13922E+00, 0.16754E-01
 0.65000E+02, 0.00000E+00, 0.29451E+03, 0.13583E+00, 0.16892E-01
 0.00000E+00, 0.10000E+01, 0.22820E+02, 0.30000E+02, 0.00000E+00
 0.10000E+01, 0.10000E+01, 0.23496E+02, 0.30000E+02, 0.00000E+00
 0.20000E+01, 0.10000E+01, 0.23194E+02, 0.30000E+02, 0.00000E+00
 0.30000E+01, 0.10000E+01, 0.23976E+02, 0.30000E+02, 0.00000E+00
 0.40000E+01, 0.10000E+01, 0.23306E+02, 0.30000E+02, 0.00000E+00
 0.50000E+01, 0.10000E+01, 0.23240E+02, 0.30000E+02, 0.00000E+00
 0.60000E+01, 0.10000E+01, 0.22805E+02, 0.30000E+02, 0.00000E+00
 0.70000E+01, 0.10000E+01, 0.23611E+02, 0.30000E+02, 0.00000E+00
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.22002E+02, 0.30000E+02, 0.00000E+00
 0.10000E+02, 0.10000E+01, 0.22002E+02, 0.30000E+02, 0.00000E+00
 0.11000E+02, 0.10000E+01, 0.21941E+02, 0.30000E+02, 0.00000E+00
 0.12000E+02, 0.10000E+01, 0.22004E+02, 0.30000E+02, 0.00000E+00
 0.13000E+02, 0.10000E+01, 0.22004E+02, 0.30000E+02, 0.00000E+00
 0.14000E+02, 0.10000E+01, 0.22060E+02, 0.30000E+02, 0.00000E+00
 0.15000E+02, 0.10000E+01, 0.22053E+02, 0.30000E+02, 0.00000E+00
 0.16000E+02, 0.10000E+01, 0.22101E+02, 0.30000E+02, 0.00000E+00
 0.17000E+02, 0.10000E+01, 0.22506E+02, 0.30000E+02, 0.00000E+00
 0.18000E+02, 0.10000E+01, 0.23033E+02, 0.30000E+02, 0.00000E+00
 0.19000E+02, 0.10000E+01, 0.23435E+02, 0.30000E+02, 0.00000E+00
 0.20000E+02, 0.10000E+01, 0.22978E+02, 0.30000E+02, 0.00000E+00
 0.21000E+02, 0.10000E+01, 0.22562E+02, 0.30000E+02, 0.00000E+00
 0.22000E+02, 0.10000E+01, 0.22243E+02, 0.30000E+02, 0.00000E+00
 0.23000E+02, 0.10000E+01, 0.22424E+02, 0.30000E+02, 0.44525E-35
 0.24000E+02, 0.10000E+01, 0.22641E+02, 0.30000E+02, 0.25784E-37
 0.25000E+02, 0.10000E+01, 0.22382E+02, 0.30000E+02, 0.00000E+00
 0.26000E+02, 0.10000E+01, 0.22485E+02, 0.30000E+02, 0.00000E+00
 0.27000E+02, 0.10000E+01, 0.22539E+02, 0.30000E+02, 0.00000E+00
 0.28000E+02, 0.10000E+01, 0.22560E+02, 0.30000E+02, 0.00000E+00
 0.29000E+02, 0.10000E+01, 0.22580E+02, 0.30000E+02, 0.00000E+00
 0.30000E+02, 0.10000E+01, 0.22297E+02, 0.30000E+02, 0.00000E+00
 0.31000E+02, 0.10000E+01, 0.22567E+02, 0.30000E+02, 0.00000E+00
 0.32000E+02, 0.10000E+01, 0.23099E+02, 0.30000E+02, 0.00000E+00
 0.33000E+02, 0.10000E+01, 0.22704E+02, 0.30000E+02, 0.00000E+00
 0.34000E+02, 0.10000E+01, 0.22531E+02, 0.30000E+02, 0.17958E-25
 0.35000E+02, 0.10000E+01, 0.22754E+02, 0.30000E+02, 0.10741E-26
 0.36000E+02, 0.10000E+01, 0.22427E+02, 0.30000E+02, 0.26794E-29
 0.37000E+02, 0.10000E+01, 0.22485E+02, 0.30000E+02, 0.30021E-32
 0.38000E+02, 0.10000E+01, 0.22894E+02, 0.30000E+02, 0.14195E-35
 0.39000E+02, 0.10000E+01, 0.22339E+02, 0.30000E+02, 0.43494E-37
 0.40000E+02, 0.10000E+01, 0.22675E+02, 0.30000E+02, 0.68926E-23
 0.41000E+02, 0.10000E+01, 0.22722E+02, 0.30000E+02, 0.12691E-22
 0.42000E+02, 0.10000E+01, 0.22626E+02, 0.30000E+02, 0.46485E-25
 0.43000E+02, 0.10000E+01, 0.22268E+02, 0.30000E+02, 0.34885E-28
 0.44000E+02, 0.10000E+01, 0.22381E+02, 0.30000E+02, 0.10036E-30
 0.45000E+02, 0.10000E+01, 0.22347E+02, 0.30000E+02, 0.20494E-33
 0.46000E+02, 0.10000E+01, 0.22409E+02, 0.30000E+02, 0.22522E-35
 0.47000E+02, 0.10000E+01, 0.22842E+02, 0.30000E+02, 0.25986E-37
 0.48000E+02, 0.10000E+01, 0.23542E+02, 0.30000E+02, 0.00000E+00
 0.49000E+02, 0.10000E+01, 0.22941E+02, 0.30000E+02, 0.00000E+00
 0.50000E+02, 0.10000E+01, 0.22782E+02, 0.30000E+02, 0.00000E+00
 0.51000E+02, 0.10000E+01, 0.22688E+02, 0.30000E+02, 0.00000E+00
 0.52000E+02, 0.10000E+01, 0.23260E+02, 0.30000E+02, 0.12558E-05
 0.53000E+02, 0.10000E+01, 0.23370E+02, 0.30000E+02, 0.41767E-05
 0.54000E+02, 0.10000E+01, 0.23302E+02, 0.30000E+02, 0.94275E-05
 0.55000E+02, 0.10000E+01, 0.23371E+02, 0.30000E+02, 0.84129E-05
 0.56000E+02, 0.10000E+01, 0.22852E+02, 0.30000E+02, 0.67469E-08
 0.57000E+02, 0.10000E+01, 0.23013E+02, 0.30000E+02, 0.13127E-10
 0.58000E+02, 0.10000E+01, 0.30996E+02, 0.26878E+01, 0.45736E-03
 0.59000E+02, 0.10000E+01, 0.31455E+02, 0.26200E+01, 0.46990E-03
 0.60000E+02, 0.10000E+01, 0.33328E+02, 0.22088E+01, 0.56081E-03
 0.61000E+02, 0.10000E+01, 0.41930E+02, 0.12843E+01, 0.99161E-03
 0.62000E+02, 0.10000E+01, 0.57837E+02, 0.76878E+00, 0.17402E-02
 0.63000E+02, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.10000E+01, 0.32228E+03, 0.17222E+00, 0.13974E-01
 0.65000E+02, 0.10000E+01, 0.21969E+03, 0.15049E+00, 0.13237E-01
 0.00000E+00, 0.20000E+01, 0.22531E+02, 0.30000E+02, 0.00000E+00
 0.10000E+01, 0.20000E+01, 0.23104E+02, 0.30000E+02, 0.00000E+00
 0.20000E+01, 0.20000E+01, 0.24805E+02, 0.30000E+02, 0.00000E+00
 0.30000E+01, 0.20000E+01, 0.24409E+02, 0.30000E+02, 0.00000E+00
 0.40000E+01, 0.20000E+01, 0.24326E+02, 0.30000E+02, 0.00000E+00
 0.50000E+01, 0.20000E+01, 0.24239E+02, 0.30000E+02, 0.00000E+00
 0.60000E+01, 0.20000E+01, 0.23714E+02, 0.30000E+02, 0.00000E+00
 0.70000E+01, 0.20000E+01, 0.24305E+02, 0.30000E+02, 0.00000E+00
 0.80000E+01, 0.20000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.20000E+01, 0.22024E+02, 0.30000E+02, 0.00000E+00
 0.10000E+02, 0.20000E+01, 0.22129E+02, 0.30000E+02, 0.00000E+00
 0.11000E+02, 0.20000E+01, 0.22312E+02, 0.30000E+02, 0.00000E+00
 0.12000E+02, 0.20000E+01, 0.22011E+02, 0.30000E+02, 0.00000E+00
 0.13000E+02, 0.20000E+01, 0.22004E+02, 0.30000E+02, 0.00000E+00
 0.14000E+02, 0.20000E+01, 0.22052E+02, 0.30000E+02, 0.00000E+00
 0.15000E+02, 0.20000E+01, 0.22031E+02, 0.30000E+02, 0.00000E+00
 0.16000E+02, 0.20000E+01, 0.22631E+02, 0.30000E+02, 0.00000E+00
 0.17000E+02, 0.20000E+01, 0.22510E+02, 0.30000E+02, 0.00000E+00
 0.18000E+02, 0.20000E+01, 0.23257E+02, 0.30000E+02, 0.00000E+00
 0.19000E+02, 0.20000E+01, 0.23490E+02, 0.30000E+02, 0.00000E+00
 0.20000E+02, 0.20000E+01, 0.23068E+02, 0.30000E+02, 0.00000E+00
 0.21000E+02, 0.20000E+01, 0.22715E+02, 0.30000E+02, 0.00000E+00
 0.22000E+02, 0.20000E+01, 0.22263E+02, 0.30000E+02, 0.00000E+00
 0.23000E+02, 0.20000E+01, 0.22642E+02, 0.30000E+02, 0.95317E-32
 0.24000E+02, 0.20000E+01, 0.22490E+02, 0.30000E+02, 0.24672E-34
 0.25000E+02, 0.20000E+01, 0.22533E+02, 0.30000E+02, 0.00000E+00
 0.26000E+02, 0.20000E+01, 0.22512E+02, 0.30000E+02, 0.00000E+00
 0.27000E+02, 0.20000E+01, 0.22458E+02, 0.30000E+02, 0.00000E+00
 0.28000E+02, 0.20000E+01, 0.22418E+02, 0.30000E+02, 0.00000E+00
 0.29000E+02, 0.20000E+01, 0.22798E+02, 0.30000E+02, 0.00000E+00
