 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.32479E+02, 0.14628E+01, 0.84448E-03
 0.10000E+01, 0.00000E+00, 0.31274E+02, 0.15148E+01, 0.81225E-03
 0.20000E+01, 0.00000E+00, 0.31337E+02, 0.15232E+01, 0.80798E-03
 0.30000E+01, 0.00000E+00, 0.31240E+02, 0.16085E+01, 0.76488E-03
 0.40000E+01, 0.00000E+00, 0.31477E+02, 0.18957E+01, 0.64949E-03
 0.50000E+01, 0.00000E+00, 0.30899E+02, 0.19254E+01, 0.63825E-03
 0.60000E+01, 0.00000E+00, 0.31260E+02, 0.21753E+01, 0.56562E-03
 0.70000E+01, 0.00000E+00, 0.33591E+02, 0.32270E+01, 0.38419E-03
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.19390E+03, 0.72963E-01, 0.25872E-01
 0.10000E+02, 0.00000E+00, 0.17583E+03, 0.71081E-01, 0.25530E-01
 0.11000E+02, 0.00000E+00, 0.13257E+03, 0.17453E+00, 0.93957E-02
 0.12000E+02, 0.00000E+00, 0.12452E+03, 0.19077E+00, 0.84255E-02
 0.13000E+02, 0.00000E+00, 0.12628E+03, 0.19251E+00, 0.83862E-02
 0.14000E+02, 0.00000E+00, 0.11322E+03, 0.20514E+00, 0.76125E-02
 0.15000E+02, 0.00000E+00, 0.10360E+03, 0.21252E+00, 0.71651E-02
 0.16000E+02, 0.00000E+00, 0.96026E+02, 0.22103E+00, 0.67508E-02
 0.17000E+02, 0.00000E+00, 0.13396E+03, 0.14997E+00, 0.10972E-01
 0.18000E+02, 0.00000E+00, 0.12733E+03, 0.15401E+00, 0.10510E-01
 0.19000E+02, 0.00000E+00, 0.14100E+03, 0.13529E+00, 0.12373E-01
 0.20000E+02, 0.00000E+00, 0.94126E+02, 0.20584E+00, 0.72116E-02
 0.21000E+02, 0.00000E+00, 0.95178E+02, 0.20283E+00, 0.73399E-02
 0.22000E+02, 0.00000E+00, 0.10221E+03, 0.19136E+00, 0.79285E-02
 0.23000E+02, 0.00000E+00, 0.40416E+02, 0.10572E+01, 0.11988E-02
 0.24000E+02, 0.00000E+00, 0.46524E+02, 0.76203E+00, 0.16956E-02
 0.25000E+02, 0.00000E+00, 0.45523E+02, 0.78335E+00, 0.16443E-02
 0.26000E+02, 0.00000E+00, 0.39821E+02, 0.10268E+01, 0.12319E-02
 0.27000E+02, 0.00000E+00, 0.36872E+02, 0.12748E+01, 0.98291E-03
 0.28000E+02, 0.00000E+00, 0.34418E+02, 0.17751E+01, 0.70032E-03
 0.29000E+02, 0.00000E+00, 0.34827E+02, 0.17001E+01, 0.73218E-03
 0.30000E+02, 0.00000E+00, 0.37169E+02, 0.12372E+01, 0.10138E-02
 0.31000E+02, 0.00000E+00, 0.37261E+02, 0.12097E+01, 0.10371E-02
 0.32000E+02, 0.00000E+00, 0.37165E+02, 0.13040E+01, 0.96184E-03
 0.33000E+02, 0.00000E+00, 0.33012E+02, 0.18738E+01, 0.66038E-03
 0.34000E+02, 0.00000E+00, 0.44850E+02, 0.72264E+00, 0.17786E-02
 0.35000E+02, 0.00000E+00, 0.43969E+02, 0.75908E+00, 0.16886E-02
