 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.19314E+02, 0.30000E+02, 0.33694E-08
 0.10000E+01, 0.00000E+00, 0.19722E+02, 0.30000E+02, 0.60919E-11
 0.20000E+01, 0.00000E+00, 0.19984E+02, 0.30000E+02, 0.89484E-10
 0.30000E+01, 0.00000E+00, 0.19869E+02, 0.30000E+02, 0.59816E-07
 0.40000E+01, 0.00000E+00, 0.18989E+02, 0.30000E+02, 0.44228E-06
 0.50000E+01, 0.00000E+00, 0.16517E+02, 0.30000E+02, 0.17133E-10
 0.60000E+01, 0.00000E+00, 0.18175E+02, 0.30000E+02, 0.45937E-09
 0.70000E+01, 0.00000E+00, 0.16098E+02, 0.30000E+02, 0.55554E-05
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.19482E+03, 0.85619E-01, 0.22091E-01
 0.10000E+02, 0.00000E+00, 0.20307E+03, 0.83924E-01, 0.22935E-01
 0.11000E+02, 0.00000E+00, 0.10155E+03, 0.32181E+00, 0.47061E-02
 0.12000E+02, 0.00000E+00, 0.10034E+03, 0.33382E+00, 0.45222E-02
 0.13000E+02, 0.00000E+00, 0.93414E+02, 0.37193E+00, 0.39835E-02
 0.14000E+02, 0.00000E+00, 0.76282E+02, 0.49188E+00, 0.28713E-02
 0.15000E+02, 0.00000E+00, 0.76991E+02, 0.47135E+00, 0.30025E-02
 0.16000E+02, 0.00000E+00, 0.75158E+02, 0.46867E+00, 0.30038E-02
 0.17000E+02, 0.00000E+00, 0.10436E+03, 0.26257E+00, 0.58111E-02
 0.18000E+02, 0.00000E+00, 0.11375E+03, 0.25360E+00, 0.61664E-02
 0.19000E+02, 0.00000E+00, 0.11429E+03, 0.24430E+00, 0.64101E-02
 0.20000E+02, 0.00000E+00, 0.69245E+02, 0.45145E+00, 0.30655E-02
 0.21000E+02, 0.00000E+00, 0.84449E+02, 0.37523E+00, 0.38519E-02
 0.22000E+02, 0.00000E+00, 0.81828E+02, 0.37986E+00, 0.37770E-02
 0.23000E+02, 0.00000E+00, 0.28160E+02, 0.47526E+01, 0.25625E-03
 0.24000E+02, 0.00000E+00, 0.27358E+02, 0.59532E+01, 0.20403E-03
 0.25000E+02, 0.00000E+00, 0.28031E+02, 0.54474E+01, 0.22347E-03
 0.26000E+02, 0.00000E+00, 0.23360E+02, 0.13491E+02, 0.88833E-04
 0.27000E+02, 0.00000E+00, 0.22004E+02, 0.22247E+02, 0.53623E-04
 0.28000E+02, 0.00000E+00, 0.23928E+02, 0.14298E+02, 0.83982E-04
 0.29000E+02, 0.00000E+00, 0.24193E+02, 0.14357E+02, 0.83708E-04
 0.30000E+02, 0.00000E+00, 0.25359E+02, 0.90066E+01, 0.13396E-03
 0.31000E+02, 0.00000E+00, 0.27469E+02, 0.58413E+01, 0.20801E-03
 0.32000E+02, 0.00000E+00, 0.27736E+02, 0.55274E+01, 0.22002E-03
 0.33000E+02, 0.00000E+00, 0.21451E+02, 0.30000E+02, 0.45061E-06
 0.34000E+02, 0.00000E+00, 0.20454E+02, 0.30000E+02, 0.43710E-08
 0.35000E+02, 0.00000E+00, 0.20551E+02, 0.30000E+02, 0.87836E-13
 0.36000E+02, 0.00000E+00, 0.21650E+02, 0.30000E+02, 0.85141E-17
 0.37000E+02, 0.00000E+00, 0.21235E+02, 0.30000E+02, 0.12769E-19
 0.38000E+02, 0.00000E+00, 0.19675E+02, 0.30000E+02, 0.43342E-21
 0.39000E+02, 0.00000E+00, 0.19573E+02, 0.30000E+02, 0.20939E-21
 0.40000E+02, 0.00000E+00, 0.19010E+02, 0.30000E+02, 0.51609E-20
 0.41000E+02, 0.00000E+00, 0.20656E+02, 0.30000E+02, 0.17868E-20
 0.42000E+02, 0.00000E+00, 0.20866E+02, 0.30000E+02, 0.20124E-20
 0.43000E+02, 0.00000E+00, 0.21436E+02, 0.30000E+02, 0.10463E-21
 0.44000E+02, 0.00000E+00, 0.19497E+02, 0.30000E+02, 0.40670E-22
 0.45000E+02, 0.00000E+00, 0.19562E+02, 0.30000E+02, 0.26559E-22
 0.46000E+02, 0.00000E+00, 0.19799E+02, 0.30000E+02, 0.83125E-24
 0.47000E+02, 0.00000E+00, 0.19470E+02, 0.30000E+02, 0.15828E-25
 0.48000E+02, 0.00000E+00, 0.20970E+02, 0.30000E+02, 0.23572E-28
 0.49000E+02, 0.00000E+00, 0.21324E+02, 0.30000E+02, 0.75582E-31
 0.50000E+02, 0.00000E+00, 0.20358E+02, 0.30000E+02, 0.14930E-33
 0.51000E+02, 0.00000E+00, 0.19672E+02, 0.30000E+02, 0.48918E-36
 0.52000E+02, 0.00000E+00, 0.20468E+02, 0.30000E+02, 0.49010E-22
 0.53000E+02, 0.00000E+00, 0.21075E+02, 0.30000E+02, 0.15129E-22
 0.54000E+02, 0.00000E+00, 0.20916E+02, 0.30000E+02, 0.87862E-24
 0.55000E+02, 0.00000E+00, 0.21776E+02, 0.30000E+02, 0.15612E-25
 0.56000E+02, 0.00000E+00, 0.21592E+02, 0.30000E+02, 0.36057E-27
 0.57000E+02, 0.00000E+00, 0.19848E+02, 0.30000E+02, 0.27676E-26
 0.58000E+02, 0.00000E+00, 0.20441E+02, 0.30000E+02, 0.16296E-22
 0.59000E+02, 0.00000E+00, 0.20671E+02, 0.30000E+02, 0.14785E-23
 0.60000E+02, 0.00000E+00, 0.20850E+02, 0.30000E+02, 0.10430E-24
 0.61000E+02, 0.00000E+00, 0.20769E+02, 0.30000E+02, 0.49921E-26
