 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.35900E+02, 0.16167E+01, 0.77264E-03
 0.10000E+01, 0.00000E+00, 0.35800E+02, 0.16365E+01, 0.76304E-03
 0.20000E+01, 0.00000E+00, 0.36127E+02, 0.16963E+01, 0.73693E-03
 0.30000E+01, 0.00000E+00, 0.35958E+02, 0.17054E+01, 0.73258E-03
 0.40000E+01, 0.00000E+00, 0.38156E+02, 0.16370E+01, 0.76861E-03
 0.50000E+01, 0.00000E+00, 0.38466E+02, 0.16983E+01, 0.74160E-03
 0.60000E+01, 0.00000E+00, 0.34542E+02, 0.22276E+01, 0.55828E-03
 0.70000E+01, 0.00000E+00, 0.33819E+02, 0.33457E+01, 0.37084E-03
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.21444E+03, 0.77871E-01, 0.25308E-01
 0.10000E+02, 0.00000E+00, 0.19865E+03, 0.76988E-01, 0.24769E-01
 0.11000E+02, 0.00000E+00, 0.11673E+03, 0.21510E+00, 0.73259E-02
 0.12000E+02, 0.00000E+00, 0.11388E+03, 0.22634E+00, 0.69113E-02
 0.13000E+02, 0.00000E+00, 0.10309E+03, 0.25336E+00, 0.60021E-02
 0.14000E+02, 0.00000E+00, 0.95141E+02, 0.26306E+00, 0.56586E-02
 0.15000E+02, 0.00000E+00, 0.82172E+02, 0.30837E+00, 0.46573E-02
 0.16000E+02, 0.00000E+00, 0.75832E+02, 0.31455E+00, 0.44842E-02
 0.17000E+02, 0.00000E+00, 0.10870E+03, 0.18980E+00, 0.81313E-02
 0.18000E+02, 0.00000E+00, 0.11563E+03, 0.18494E+00, 0.84964E-02
 0.19000E+02, 0.00000E+00, 0.12029E+03, 0.17169E+00, 0.92620E-02
 0.20000E+02, 0.00000E+00, 0.77816E+02, 0.29832E+00, 0.47551E-02
 0.21000E+02, 0.00000E+00, 0.90937E+02, 0.26083E+00, 0.56418E-02
 0.22000E+02, 0.00000E+00, 0.99203E+02, 0.23859E+00, 0.63079E-02
 0.23000E+02, 0.00000E+00, 0.35434E+02, 0.17009E+01, 0.73327E-03
 0.24000E+02, 0.00000E+00, 0.33774E+02, 0.17369E+01, 0.71423E-03
 0.25000E+02, 0.00000E+00, 0.35767E+02, 0.15967E+01, 0.78197E-03
 0.26000E+02, 0.00000E+00, 0.35228E+02, 0.17401E+01, 0.71629E-03
 0.27000E+02, 0.00000E+00, 0.35165E+02, 0.18964E+01, 0.65710E-03
 0.28000E+02, 0.00000E+00, 0.34516E+02, 0.23030E+01, 0.53996E-03
 0.29000E+02, 0.00000E+00, 0.33445E+02, 0.25047E+01, 0.49475E-03
 0.30000E+02, 0.00000E+00, 0.31755E+02, 0.27833E+01, 0.44277E-03
 0.31000E+02, 0.00000E+00, 0.30555E+02, 0.36926E+01, 0.33243E-03
 0.32000E+02, 0.00000E+00, 0.30405E+02, 0.39198E+01, 0.31300E-03
 0.33000E+02, 0.00000E+00, 0.26740E+02, 0.88157E+01, 0.13749E-03
 0.34000E+02, 0.00000E+00, 0.28987E+02, 0.29815E+01, 0.40959E-03
 0.35000E+02, 0.00000E+00, 0.27983E+02, 0.29512E+01, 0.41242E-03
 0.36000E+02, 0.00000E+00, 0.28036E+02, 0.32534E+01, 0.37418E-03
 0.37000E+02, 0.00000E+00, 0.27599E+02, 0.35688E+01, 0.34061E-03
 0.38000E+02, 0.00000E+00, 0.28229E+02, 0.33699E+01, 0.36147E-03
 0.39000E+02, 0.00000E+00, 0.25274E+02, 0.73892E+01, 0.16324E-03
 0.40000E+02, 0.00000E+00, 0.22621E+02, 0.30000E+02, 0.29101E-07
 0.41000E+02, 0.00000E+00, 0.22566E+02, 0.30000E+02, 0.21268E-07
