 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.98182E+02, 0.20935E+00, 0.71693E-02
 0.10000E+01, 0.00000E+00, 0.10006E+03, 0.21051E+00, 0.71656E-02
 0.20000E+01, 0.00000E+00, 0.10148E+03, 0.21606E+00, 0.70080E-02
 0.30000E+01, 0.00000E+00, 0.97146E+02, 0.21729E+00, 0.68880E-02
 0.40000E+01, 0.00000E+00, 0.95251E+02, 0.21798E+00, 0.68311E-02
 0.50000E+01, 0.00000E+00, 0.93512E+02, 0.22078E+00, 0.67125E-02
 0.60000E+01, 0.00000E+00, 0.91463E+02, 0.22506E+00, 0.65479E-02
 0.70000E+01, 0.00000E+00, 0.89617E+02, 0.22731E+00, 0.64505E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.13928E+03, 0.61164E-01, 0.27254E-01
 0.10000E+02, 0.00000E+00, 0.13075E+03, 0.59630E-01, 0.27377E-01
 0.11000E+02, 0.00000E+00, 0.12901E+03, 0.93484E-01, 0.17387E-01
 0.12000E+02, 0.00000E+00, 0.13092E+03, 0.88861E-01, 0.18379E-01
 0.13000E+02, 0.00000E+00, 0.13116E+03, 0.89925E-01, 0.18172E-01
 0.14000E+02, 0.00000E+00, 0.12519E+03, 0.94546E-01, 0.17029E-01
 0.15000E+02, 0.00000E+00, 0.11837E+03, 0.96092E-01, 0.16468E-01
 0.16000E+02, 0.00000E+00, 0.11436E+03, 0.93370E-01, 0.16774E-01
 0.17000E+02, 0.00000E+00, 0.12453E+03, 0.73043E-01, 0.22006E-01
 0.18000E+02, 0.00000E+00, 0.11420E+03, 0.71983E-01, 0.21750E-01
 0.19000E+02, 0.00000E+00, 0.13678E+03, 0.72510E-01, 0.22850E-01
 0.20000E+02, 0.00000E+00, 0.98290E+02, 0.86992E-01, 0.17258E-01
 0.21000E+02, 0.00000E+00, 0.10936E+03, 0.87814E-01, 0.17606E-01
 0.22000E+02, 0.00000E+00, 0.11556E+03, 0.85376E-01, 0.18402E-01
 0.23000E+02, 0.00000E+00, 0.11943E+03, 0.20785E+00, 0.76342E-02
 0.24000E+02, 0.00000E+00, 0.76382E+02, 0.31834E+00, 0.44379E-02
 0.25000E+02, 0.00000E+00, 0.10773E+03, 0.24822E+00, 0.62019E-02
 0.26000E+02, 0.00000E+00, 0.12072E+03, 0.22466E+00, 0.70859E-02
 0.27000E+02, 0.00000E+00, 0.11352E+03, 0.23515E+00, 0.66463E-02
 0.28000E+02, 0.00000E+00, 0.10674E+03, 0.23585E+00, 0.65103E-02
