 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.18864E+02, 0.30000E+02, 0.00000E+00
 0.10000E+01, 0.00000E+00, 0.20227E+02, 0.30000E+02, 0.00000E+00
 0.20000E+01, 0.00000E+00, 0.20127E+02, 0.30000E+02, 0.00000E+00
 0.30000E+01, 0.00000E+00, 0.20049E+02, 0.30000E+02, 0.00000E+00
 0.40000E+01, 0.00000E+00, 0.20070E+02, 0.30000E+02, 0.00000E+00
 0.50000E+01, 0.00000E+00, 0.19964E+02, 0.30000E+02, 0.00000E+00
 0.60000E+01, 0.00000E+00, 0.20087E+02, 0.30000E+02, 0.00000E+00
 0.70000E+01, 0.00000E+00, 0.20372E+02, 0.30000E+02, 0.00000E+00
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.22074E+02, 0.30000E+02, 0.00000E+00
 0.10000E+02, 0.00000E+00, 0.21971E+02, 0.30000E+02, 0.00000E+00
 0.11000E+02, 0.00000E+00, 0.22302E+02, 0.30000E+02, 0.00000E+00
 0.12000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.13000E+02, 0.00000E+00, 0.21998E+02, 0.30000E+02, 0.00000E+00
 0.14000E+02, 0.00000E+00, 0.21899E+02, 0.30000E+02, 0.00000E+00
 0.15000E+02, 0.00000E+00, 0.22026E+02, 0.30000E+02, 0.00000E+00
 0.16000E+02, 0.00000E+00, 0.22039E+02, 0.30000E+02, 0.00000E+00
 0.17000E+02, 0.00000E+00, 0.21162E+02, 0.30000E+02, 0.00000E+00
 0.18000E+02, 0.00000E+00, 0.21469E+02, 0.30000E+02, 0.00000E+00
 0.19000E+02, 0.00000E+00, 0.21228E+02, 0.30000E+02, 0.00000E+00
 0.20000E+02, 0.00000E+00, 0.21251E+02, 0.30000E+02, 0.00000E+00
 0.21000E+02, 0.00000E+00, 0.21468E+02, 0.30000E+02, 0.00000E+00
 0.22000E+02, 0.00000E+00, 0.20607E+02, 0.30000E+02, 0.00000E+00
 0.23000E+02, 0.00000E+00, 0.22982E+02, 0.30000E+02, 0.00000E+00
 0.24000E+02, 0.00000E+00, 0.22801E+02, 0.30000E+02, 0.00000E+00
 0.25000E+02, 0.00000E+00, 0.22799E+02, 0.30000E+02, 0.00000E+00
 0.26000E+02, 0.00000E+00, 0.22793E+02, 0.30000E+02, 0.00000E+00
 0.27000E+02, 0.00000E+00, 0.22786E+02, 0.30000E+02, 0.00000E+00
 0.28000E+02, 0.00000E+00, 0.22837E+02, 0.30000E+02, 0.00000E+00
 0.29000E+02, 0.00000E+00, 0.22345E+02, 0.30000E+02, 0.00000E+00
