 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.31557E+03, 0.11692E+02, 0.20352E-03
 0.10000E+01, 0.00000E+00, 0.33928E+03, 0.13373E+02, 0.18510E-03
 0.20000E+01, 0.00000E+00, 0.35577E+03, 0.16029E+02, 0.15859E-03
 0.30000E+01, 0.00000E+00, 0.36137E+03, 0.18712E+02, 0.13705E-03
 0.40000E+01, 0.00000E+00, 0.35626E+03, 0.20034E+02, 0.12699E-03
 0.50000E+01, 0.00000E+00, 0.38281E+03, 0.22947E+02, 0.11554E-03
 0.60000E+01, 0.00000E+00, 0.35495E+03, 0.21574E+02, 0.11767E-03
 0.70000E+01, 0.00000E+00, 0.34411E+03, 0.21668E+02, 0.11514E-03
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.16036E+03, 0.18336E+00, 0.95557E-02
 0.10000E+02, 0.00000E+00, 0.15783E+03, 0.17965E+00, 0.96962E-02
 0.11000E+02, 0.00000E+00, 0.17633E+03, 0.10488E+00, 0.17322E-01
 0.12000E+02, 0.00000E+00, 0.17406E+03, 0.11012E+00, 0.16415E-01
 0.13000E+02, 0.00000E+00, 0.17585E+03, 0.10642E+00, 0.17053E-01
 0.14000E+02, 0.00000E+00, 0.17017E+03, 0.10234E+00, 0.17508E-01
 0.15000E+02, 0.00000E+00, 0.16370E+03, 0.99625E-01, 0.17723E-01
 0.16000E+02, 0.00000E+00, 0.14109E+03, 0.89747E-01, 0.18656E-01
 0.17000E+02, 0.00000E+00, 0.16452E+03, 0.14048E+00, 0.12592E-01
 0.18000E+02, 0.00000E+00, 0.16549E+03, 0.13904E+00, 0.12751E-01
 0.19000E+02, 0.00000E+00, 0.16414E+03, 0.14210E+00, 0.12438E-01
 0.20000E+02, 0.00000E+00, 0.17094E+03, 0.11643E+00, 0.15417E-01
 0.21000E+02, 0.00000E+00, 0.18035E+03, 0.12009E+00, 0.15263E-01
 0.22000E+02, 0.00000E+00, 0.17588E+03, 0.11900E+00, 0.15251E-01
 0.23000E+02, 0.00000E+00, 0.36256E+03, 0.11897E+00, 0.21598E-01
 0.24000E+02, 0.00000E+00, 0.36273E+03, 0.12362E+00, 0.20790E-01
 0.25000E+02, 0.00000E+00, 0.33767E+03, 0.13533E+00, 0.18243E-01
 0.26000E+02, 0.00000E+00, 0.35078E+03, 0.13530E+00, 0.18638E-01
 0.27000E+02, 0.00000E+00, 0.34631E+03, 0.13648E+00, 0.18345E-01
 0.28000E+02, 0.00000E+00, 0.34228E+03, 0.13704E+00, 0.18151E-01
 0.29000E+02, 0.00000E+00, 0.31954E+03, 0.13324E+00, 0.17979E-01
 0.30000E+02, 0.00000E+00, 0.30572E+03, 0.13081E+00, 0.17887E-01
 0.31000E+02, 0.00000E+00, 0.30343E+03, 0.13124E+00, 0.17758E-01
 0.32000E+02, 0.00000E+00, 0.30261E+03, 0.13305E+00, 0.17491E-01
 0.33000E+02, 0.00000E+00, 0.28287E+03, 0.13931E+00, 0.16132E-01
 0.34000E+02, 0.00000E+00, 0.22367E+03, 0.13356E+00, 0.15035E-01
 0.35000E+02, 0.00000E+00, 0.22850E+03, 0.10752E+00, 0.18858E-01
 0.36000E+02, 0.00000E+00, 0.22371E+03, 0.98966E-01, 0.20292E-01
 0.37000E+02, 0.00000E+00, 0.22522E+03, 0.97678E-01, 0.20622E-01
 0.38000E+02, 0.00000E+00, 0.22177E+03, 0.98807E-01, 0.20245E-01
 0.39000E+02, 0.00000E+00, 0.21518E+03, 0.10423E+00, 0.18937E-01
 0.40000E+02, 0.00000E+00, 0.40349E+03, 0.11817E+00, 0.23144E-01
 0.41000E+02, 0.00000E+00, 0.39690E+03, 0.12998E+00, 0.20836E-01
 0.42000E+02, 0.00000E+00, 0.37660E+03, 0.13525E+00, 0.19417E-01
 0.43000E+02, 0.00000E+00, 0.34674E+03, 0.13878E+00, 0.18053E-01
 0.44000E+02, 0.00000E+00, 0.33304E+03, 0.14511E+00, 0.16885E-01
 0.45000E+02, 0.00000E+00, 0.31897E+03, 0.15320E+00, 0.15622E-01
 0.46000E+02, 0.00000E+00, 0.31309E+03, 0.16359E+00, 0.14484E-01
