 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.21796E+03, 0.13738E+00, 0.14448E-01
 0.10000E+01, 0.00000E+00, 0.20533E+03, 0.14262E+00, 0.13560E-01
 0.20000E+01, 0.00000E+00, 0.19621E+03, 0.14704E+00, 0.12902E-01
 0.30000E+01, 0.00000E+00, 0.20170E+03, 0.15133E+00, 0.12683E-01
 0.40000E+01, 0.00000E+00, 0.19555E+03, 0.15114E+00, 0.12534E-01
 0.50000E+01, 0.00000E+00, 0.19346E+03, 0.14750E+00, 0.12786E-01
 0.60000E+01, 0.00000E+00, 0.18680E+03, 0.14703E+00, 0.12644E-01
 0.70000E+01, 0.00000E+00, 0.19254E+03, 0.13847E+00, 0.13593E-01
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.16565E+03, 0.22386E+00, 0.79225E-02
 0.10000E+02, 0.00000E+00, 0.16432E+03, 0.22304E+00, 0.79278E-02
 0.11000E+02, 0.00000E+00, 0.46365E+03, 0.30000E+02, 0.40252E-11
 0.12000E+02, 0.00000E+00, 0.54044E+03, 0.30000E+02, 0.31224E-11
 0.13000E+02, 0.00000E+00, 0.58208E+03, 0.30000E+02, 0.10099E-11
 0.14000E+02, 0.00000E+00, 0.54714E+03, 0.30000E+02, 0.84968E-12
 0.15000E+02, 0.00000E+00, 0.42576E+03, 0.30000E+02, 0.10911E-11
 0.16000E+02, 0.00000E+00, 0.43509E+03, 0.30000E+02, 0.10651E-11
 0.17000E+02, 0.00000E+00, 0.16985E+03, 0.12381E+00, 0.14462E-01
 0.18000E+02, 0.00000E+00, 0.18861E+03, 0.13020E+00, 0.14335E-01
 0.19000E+02, 0.00000E+00, 0.18344E+03, 0.13056E+00, 0.14135E-01
 0.20000E+02, 0.00000E+00, 0.15403E+03, 0.10783E+00, 0.16012E-01
 0.21000E+02, 0.00000E+00, 0.16933E+03, 0.11114E+00, 0.16091E-01
 0.22000E+02, 0.00000E+00, 0.14954E+03, 0.10529E+00, 0.16227E-01
 0.23000E+02, 0.00000E+00, 0.31747E+03, 0.12629E+00, 0.18903E-01
 0.24000E+02, 0.00000E+00, 0.32919E+03, 0.12890E+00, 0.18887E-01
 0.25000E+02, 0.00000E+00, 0.35376E+03, 0.13436E+00, 0.18859E-01
 0.26000E+02, 0.00000E+00, 0.35435E+03, 0.13866E+00, 0.18291E-01
 0.27000E+02, 0.00000E+00, 0.35250E+03, 0.14044E+00, 0.18006E-01
 0.28000E+02, 0.00000E+00, 0.35069E+03, 0.13939E+00, 0.18089E-01
 0.29000E+02, 0.00000E+00, 0.34685E+03, 0.13816E+00, 0.18138E-01
 0.30000E+02, 0.00000E+00, 0.33271E+03, 0.13982E+00, 0.17514E-01
 0.31000E+02, 0.00000E+00, 0.30981E+03, 0.14069E+00, 0.16747E-01
 0.32000E+02, 0.00000E+00, 0.30862E+03, 0.13579E+00, 0.17316E-01
 0.33000E+02, 0.00000E+00, 0.28728E+03, 0.12392E+00, 0.18279E-01
 0.34000E+02, 0.00000E+00, 0.37083E+03, 0.96167E-01, 0.27066E-01
 0.35000E+02, 0.00000E+00, 0.36437E+03, 0.93620E-01, 0.27524E-01
 0.36000E+02, 0.00000E+00, 0.36805E+03, 0.92856E-01, 0.27910E-01
 0.37000E+02, 0.00000E+00, 0.36792E+03, 0.93446E-01, 0.27728E-01
 0.38000E+02, 0.00000E+00, 0.37920E+03, 0.93283E-01, 0.28265E-01
 0.39000E+02, 0.00000E+00, 0.35120E+03, 0.88692E-01, 0.28453E-01
 0.40000E+02, 0.00000E+00, 0.31420E+03, 0.16113E+00, 0.14733E-01
 0.41000E+02, 0.00000E+00, 0.27190E+03, 0.19615E+00, 0.11231E-01
 0.42000E+02, 0.00000E+00, 0.25750E+03, 0.19619E+00, 0.10932E-01
 0.43000E+02, 0.00000E+00, 0.24689E+03, 0.18867E+00, 0.11141E-01
 0.44000E+02, 0.00000E+00, 0.24788E+03, 0.20467E+00, 0.10289E-01
 0.45000E+02, 0.00000E+00, 0.25607E+03, 0.21226E+00, 0.10077E-01
 0.46000E+02, 0.00000E+00, 0.27891E+03, 0.19071E+00, 0.11700E-01
 0.47000E+02, 0.00000E+00, 0.27465E+03, 0.17829E+00, 0.12419E-01
 0.48000E+02, 0.00000E+00, 0.26651E+03, 0.17457E+00, 0.12495E-01
 0.49000E+02, 0.00000E+00, 0.24626E+03, 0.17173E+00, 0.12225E-01
 0.50000E+02, 0.00000E+00, 0.23067E+03, 0.17402E+00, 0.11702E-01
 0.51000E+02, 0.00000E+00, 0.22404E+03, 0.17168E+00, 0.11705E-01
 0.52000E+02, 0.00000E+00, 0.28773E+03, 0.12600E+00, 0.17992E-01
 0.53000E+02, 0.00000E+00, 0.29641E+03, 0.13428E+00, 0.17144E-01
 0.54000E+02, 0.00000E+00, 0.29856E+03, 0.13432E+00, 0.17203E-01
 0.55000E+02, 0.00000E+00, 0.27219E+03, 0.13535E+00, 0.16285E-01
 0.56000E+02, 0.00000E+00, 0.26808E+03, 0.13422E+00, 0.16298E-01
 0.57000E+02, 0.00000E+00, 0.29010E+03, 0.13224E+00, 0.17215E-01
 0.58000E+02, 0.00000E+00, 0.29900E+03, 0.12639E+00, 0.18297E-01
 0.59000E+02, 0.00000E+00, 0.30169E+03, 0.13056E+00, 0.17796E-01
 0.60000E+02, 0.00000E+00, 0.31659E+03, 0.13114E+00, 0.18177E-01
 0.61000E+02, 0.00000E+00, 0.31045E+03, 0.13069E+00, 0.18048E-01
 0.62000E+02, 0.00000E+00, 0.30121E+03, 0.12942E+00, 0.17937E-01
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.22575E+03, 0.10675E+00, 0.18889E-01
 0.65000E+02, 0.00000E+00, 0.21293E+03, 0.10012E+00, 0.19623E-01
 0.00000E+00, 0.10000E+01, 0.25723E+03, 0.12963E+00, 0.16537E-01
 0.10000E+01, 0.10000E+01, 0.24755E+03, 0.13948E+00, 0.15089E-01
 0.20000E+01, 0.10000E+01, 0.20678E+03, 0.14881E+00, 0.13035E-01
 0.30000E+01, 0.10000E+01, 0.21642E+03, 0.15142E+00, 0.13068E-01
 0.40000E+01, 0.10000E+01, 0.21154E+03, 0.14965E+00, 0.13090E-01
 0.50000E+01, 0.10000E+01, 0.21105E+03, 0.14508E+00, 0.13490E-01
 0.60000E+01, 0.10000E+01, 0.19141E+03, 0.14443E+00, 0.13001E-01
 0.70000E+01, 0.10000E+01, 0.21024E+03, 0.13890E+00, 0.14066E-01
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.16865E+03, 0.22566E+00, 0.79133E-02
 0.10000E+02, 0.10000E+01, 0.18625E+03, 0.23896E+00, 0.77703E-02
 0.11000E+02, 0.10000E+01, 0.54762E+03, 0.30000E+02, 0.29387E-11
 0.12000E+02, 0.10000E+01, 0.58334E+03, 0.30000E+02, 0.27641E-11
