 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.94521E+02, 0.46359E+00, 0.32055E-02
 0.10000E+01, 0.00000E+00, 0.96963E+02, 0.46544E+00, 0.32140E-02
 0.20000E+01, 0.00000E+00, 0.95697E+02, 0.47176E+00, 0.31601E-02
 0.30000E+01, 0.00000E+00, 0.93757E+02, 0.47803E+00, 0.31023E-02
 0.40000E+01, 0.00000E+00, 0.92452E+02, 0.49656E+00, 0.29759E-02
 0.50000E+01, 0.00000E+00, 0.91413E+02, 0.49378E+00, 0.29841E-02
 0.60000E+01, 0.00000E+00, 0.91265E+02, 0.46974E+00, 0.31356E-02
 0.70000E+01, 0.00000E+00, 0.89244E+02, 0.46124E+00, 0.31757E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.23646E+03, 0.72259E-01, 0.28505E-01
 0.10000E+02, 0.00000E+00, 0.21633E+03, 0.68536E-01, 0.28867E-01
 0.11000E+02, 0.00000E+00, 0.36506E+03, 0.10724E+00, 0.24053E-01
 0.12000E+02, 0.00000E+00, 0.39102E+03, 0.10139E+00, 0.26476E-01
 0.13000E+02, 0.00000E+00, 0.38805E+03, 0.11806E+00, 0.22636E-01
 0.14000E+02, 0.00000E+00, 0.33645E+03, 0.11471E+00, 0.21480E-01
 0.15000E+02, 0.00000E+00, 0.29817E+03, 0.11136E+00, 0.20736E-01
 0.16000E+02, 0.00000E+00, 0.25665E+03, 0.11209E+00, 0.19104E-01
 0.17000E+02, 0.00000E+00, 0.18470E+03, 0.12875E+00, 0.14373E-01
 0.18000E+02, 0.00000E+00, 0.19524E+03, 0.13546E+00, 0.13975E-01
 0.19000E+02, 0.00000E+00, 0.18262E+03, 0.13767E+00, 0.13381E-01
 0.20000E+02, 0.00000E+00, 0.23031E+03, 0.93472E-01, 0.21770E-01
 0.21000E+02, 0.00000E+00, 0.22758E+03, 0.99462E-01, 0.20348E-01
 0.22000E+02, 0.00000E+00, 0.21702E+03, 0.10537E+00, 0.18803E-01
 0.23000E+02, 0.00000E+00, 0.57086E+03, 0.30000E+02, 0.56970E-04
 0.24000E+02, 0.00000E+00, 0.60784E+03, 0.30000E+02, 0.11451E-03
 0.25000E+02, 0.00000E+00, 0.61429E+03, 0.21230E+02, 0.16895E-03
 0.26000E+02, 0.00000E+00, 0.60843E+03, 0.17734E+02, 0.20093E-03
 0.27000E+02, 0.00000E+00, 0.61731E+03, 0.15874E+02, 0.22673E-03
 0.28000E+02, 0.00000E+00, 0.64223E+03, 0.19916E+02, 0.18577E-03
 0.29000E+02, 0.00000E+00, 0.57045E+03, 0.13241E+02, 0.25752E-03
 0.30000E+02, 0.00000E+00, 0.51112E+03, 0.75916E+01, 0.41755E-03
 0.31000E+02, 0.00000E+00, 0.44226E+03, 0.38129E+01, 0.75836E-03
 0.32000E+02, 0.00000E+00, 0.43410E+03, 0.37874E+01, 0.75476E-03
 0.33000E+02, 0.00000E+00, 0.41947E+03, 0.39870E+01, 0.70215E-03
 0.34000E+02, 0.00000E+00, 0.35621E+03, 0.12825E+00, 0.19835E-01
 0.35000E+02, 0.00000E+00, 0.32054E+03, 0.13728E+00, 0.17480E-01
 0.36000E+02, 0.00000E+00, 0.32555E+03, 0.14206E+00, 0.17034E-01
 0.37000E+02, 0.00000E+00, 0.33794E+03, 0.14272E+00, 0.17306E-01
 0.38000E+02, 0.00000E+00, 0.32797E+03, 0.13945E+00, 0.17423E-01
 0.39000E+02, 0.00000E+00, 0.29562E+03, 0.13589E+00, 0.16917E-01
 0.40000E+02, 0.00000E+00, 0.26661E+03, 0.23420E+00, 0.93152E-02
 0.41000E+02, 0.00000E+00, 0.24086E+03, 0.28792E+00, 0.72157E-02
 0.42000E+02, 0.00000E+00, 0.20220E+03, 0.31909E+00, 0.60213E-02
 0.43000E+02, 0.00000E+00, 0.16610E+03, 0.35909E+00, 0.49442E-02
 0.44000E+02, 0.00000E+00, 0.19112E+03, 0.32992E+00, 0.56878E-02
 0.45000E+02, 0.00000E+00, 0.21633E+03, 0.31684E+00, 0.62441E-02
 0.46000E+02, 0.00000E+00, 0.22929E+03, 0.30149E+00, 0.67359E-02
 0.47000E+02, 0.00000E+00, 0.23595E+03, 0.28368E+00, 0.72536E-02
 0.48000E+02, 0.00000E+00, 0.23439E+03, 0.27638E+00, 0.74223E-02
 0.49000E+02, 0.00000E+00, 0.21620E+03, 0.28786E+00, 0.68708E-02
 0.50000E+02, 0.00000E+00, 0.19429E+03, 0.30387E+00, 0.62176E-02
 0.51000E+02, 0.00000E+00, 0.17449E+03, 0.30842E+00, 0.58662E-02
 0.52000E+02, 0.00000E+00, 0.32766E+03, 0.16916E+00, 0.14355E-01
 0.53000E+02, 0.00000E+00, 0.31379E+03, 0.18585E+00, 0.12765E-01
 0.54000E+02, 0.00000E+00, 0.31096E+03, 0.19051E+00, 0.12392E-01
 0.55000E+02, 0.00000E+00, 0.25704E+03, 0.20937E+00, 0.10235E-01
 0.56000E+02, 0.00000E+00, 0.27108E+03, 0.20529E+00, 0.10715E-01
 0.57000E+02, 0.00000E+00, 0.28210E+03, 0.20159E+00, 0.11133E-01
 0.58000E+02, 0.00000E+00, 0.28612E+03, 0.17877E+00, 0.12645E-01
 0.59000E+02, 0.00000E+00, 0.28308E+03, 0.18204E+00, 0.12350E-01
 0.60000E+02, 0.00000E+00, 0.29004E+03, 0.18627E+00, 0.12221E-01
 0.61000E+02, 0.00000E+00, 0.29021E+03, 0.19262E+00, 0.11821E-01
 0.62000E+02, 0.00000E+00, 0.27174E+03, 0.20281E+00, 0.10859E-01
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.32425E+03, 0.16049E+00, 0.15045E-01
 0.65000E+02, 0.00000E+00, 0.29054E+03, 0.14871E+00, 0.15321E-01
 0.00000E+00, 0.10000E+01, 0.98946E+02, 0.48091E+00, 0.31273E-02
 0.10000E+01, 0.10000E+01, 0.96194E+02, 0.47395E+00, 0.31498E-02
 0.20000E+01, 0.10000E+01, 0.98033E+02, 0.49729E+00, 0.30168E-02
 0.30000E+01, 0.10000E+01, 0.96865E+02, 0.50624E+00, 0.29542E-02
 0.40000E+01, 0.10000E+01, 0.91096E+02, 0.51549E+00, 0.28560E-02
 0.50000E+01, 0.10000E+01, 0.89545E+02, 0.50507E+00, 0.29025E-02
 0.60000E+01, 0.10000E+01, 0.89650E+02, 0.47207E+00, 0.31063E-02
 0.70000E+01, 0.10000E+01, 0.88861E+02, 0.47186E+00, 0.31009E-02
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.19654E+03, 0.65039E-01, 0.29189E-01
 0.10000E+02, 0.10000E+01, 0.20029E+03, 0.65673E-01, 0.29138E-01
 0.11000E+02, 0.10000E+01, 0.40088E+03, 0.11028E+00, 0.24704E-01
 0.12000E+02, 0.10000E+01, 0.35693E+03, 0.12195E+00, 0.20883E-01
 0.13000E+02, 0.10000E+01, 0.34266E+03, 0.13815E+00, 0.18016E-01
 0.14000E+02, 0.10000E+01, 0.32126E+03, 0.12675E+00, 0.18955E-01
 0.15000E+02, 0.10000E+01, 0.27799E+03, 0.12742E+00, 0.17483E-01
 0.16000E+02, 0.10000E+01, 0.24431E+03, 0.12480E+00, 0.16758E-01
 0.17000E+02, 0.10000E+01, 0.20495E+03, 0.14867E+00, 0.12998E-01
 0.18000E+02, 0.10000E+01, 0.20157E+03, 0.13498E+00, 0.14215E-01
 0.19000E+02, 0.10000E+01, 0.19909E+03, 0.14312E+00, 0.13337E-01
 0.20000E+02, 0.10000E+01, 0.24595E+03, 0.10121E+00, 0.20731E-01
 0.21000E+02, 0.10000E+01, 0.24821E+03, 0.15475E+00, 0.13617E-01
 0.22000E+02, 0.10000E+01, 0.23307E+03, 0.16314E+00, 0.12542E-01
 0.23000E+02, 0.10000E+01, 0.58709E+03, 0.30000E+02, 0.69832E-04
 0.24000E+02, 0.10000E+01, 0.61573E+03, 0.30000E+02, 0.11552E-03
 0.25000E+02, 0.10000E+01, 0.66539E+03, 0.30000E+02, 0.11255E-03
 0.26000E+02, 0.10000E+01, 0.67714E+03, 0.25420E+02, 0.15110E-03
 0.27000E+02, 0.10000E+01, 0.70364E+03, 0.29347E+02, 0.13453E-03
 0.28000E+02, 0.10000E+01, 0.67851E+03, 0.12373E+02, 0.31086E-03
 0.29000E+02, 0.10000E+01, 0.45256E+03, 0.33981E+01, 0.86317E-03
 0.30000E+02, 0.10000E+01, 0.41216E+03, 0.25914E+01, 0.10689E-02
 0.31000E+02, 0.10000E+01, 0.40638E+03, 0.23284E+01, 0.11796E-02
 0.32000E+02, 0.10000E+01, 0.41274E+03, 0.20672E+01, 0.13411E-02
 0.33000E+02, 0.10000E+01, 0.42121E+03, 0.40026E+01, 0.70117E-03
 0.34000E+02, 0.10000E+01, 0.28391E+03, 0.14110E+00, 0.15957E-01
 0.35000E+02, 0.10000E+01, 0.30718E+03, 0.13876E+00, 0.16904E-01
 0.36000E+02, 0.10000E+01, 0.31065E+03, 0.13918E+00, 0.16954E-01
