 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.17542E+03, 0.20127E+00, 0.90080E-02
 0.10000E+01, 0.00000E+00, 0.16769E+03, 0.20124E+00, 0.88541E-02
 0.20000E+01, 0.00000E+00, 0.16590E+03, 0.20593E+00, 0.86174E-02
 0.30000E+01, 0.00000E+00, 0.17175E+03, 0.21037E+00, 0.85479E-02
 0.40000E+01, 0.00000E+00, 0.16474E+03, 0.21101E+00, 0.83878E-02
 0.50000E+01, 0.00000E+00, 0.16080E+03, 0.21036E+00, 0.83381E-02
 0.60000E+01, 0.00000E+00, 0.15176E+03, 0.21245E+00, 0.80837E-02
 0.70000E+01, 0.00000E+00, 0.14539E+03, 0.21337E+00, 0.79282E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.13734E+03, 0.18274E+00, 0.90792E-02
 0.10000E+02, 0.00000E+00, 0.14028E+03, 0.18905E+00, 0.88389E-02
 0.11000E+02, 0.00000E+00, 0.14921E+03, 0.11308E+00, 0.15096E-01
 0.12000E+02, 0.00000E+00, 0.14887E+03, 0.11105E+00, 0.15360E-01
 0.13000E+02, 0.00000E+00, 0.14523E+03, 0.10674E+00, 0.15843E-01
 0.14000E+02, 0.00000E+00, 0.13988E+03, 0.10042E+00, 0.16624E-01
 0.15000E+02, 0.00000E+00, 0.13876E+03, 0.94752E-01, 0.17571E-01
 0.16000E+02, 0.00000E+00, 0.13532E+03, 0.90645E-01, 0.18214E-01
 0.17000E+02, 0.00000E+00, 0.14651E+03, 0.17009E+00, 0.99721E-02
 0.18000E+02, 0.00000E+00, 0.15549E+03, 0.18217E+00, 0.95102E-02
 0.19000E+02, 0.00000E+00, 0.15176E+03, 0.18692E+00, 0.91881E-02
 0.20000E+02, 0.00000E+00, 0.14330E+03, 0.10724E+00, 0.15696E-01
 0.21000E+02, 0.00000E+00, 0.14819E+03, 0.10907E+00, 0.15613E-01
