 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.17842E+03, 0.15480E+00, 0.11790E-01
 0.10000E+01, 0.00000E+00, 0.19470E+03, 0.15889E+00, 0.11901E-01
 0.20000E+01, 0.00000E+00, 0.18230E+03, 0.15842E+00, 0.11620E-01
 0.30000E+01, 0.00000E+00, 0.19151E+03, 0.15948E+00, 0.11776E-01
 0.40000E+01, 0.00000E+00, 0.18832E+03, 0.15881E+00, 0.11744E-01
 0.50000E+01, 0.00000E+00, 0.18119E+03, 0.15896E+00, 0.11552E-01
 0.60000E+01, 0.00000E+00, 0.17773E+03, 0.15965E+00, 0.11415E-01
 0.70000E+01, 0.00000E+00, 0.16320E+03, 0.15542E+00, 0.11347E-01
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.14493E+03, 0.18650E+00, 0.90607E-02
 0.10000E+02, 0.00000E+00, 0.14834E+03, 0.19170E+00, 0.88867E-02
 0.11000E+02, 0.00000E+00, 0.14269E+03, 0.11872E+00, 0.14158E-01
 0.12000E+02, 0.00000E+00, 0.13788E+03, 0.11741E+00, 0.14150E-01
 0.13000E+02, 0.00000E+00, 0.13078E+03, 0.10812E+00, 0.15100E-01
 0.14000E+02, 0.00000E+00, 0.12904E+03, 0.10628E+00, 0.15296E-01
 0.15000E+02, 0.00000E+00, 0.12311E+03, 0.10347E+00, 0.15480E-01
 0.16000E+02, 0.00000E+00, 0.11438E+03, 0.97286E-01, 0.16101E-01
 0.17000E+02, 0.00000E+00, 0.13822E+03, 0.14400E+00, 0.11547E-01
 0.18000E+02, 0.00000E+00, 0.13812E+03, 0.14551E+00, 0.11424E-01
 0.19000E+02, 0.00000E+00, 0.13619E+03, 0.15060E+00, 0.10986E-01
 0.20000E+02, 0.00000E+00, 0.12959E+03, 0.13909E+00, 0.11703E-01
 0.21000E+02, 0.00000E+00, 0.13712E+03, 0.14276E+00, 0.11616E-01
 0.22000E+02, 0.00000E+00, 0.13143E+03, 0.13923E+00, 0.11745E-01
 0.23000E+02, 0.00000E+00, 0.20826E+03, 0.13289E+00, 0.14642E-01
 0.24000E+02, 0.00000E+00, 0.21224E+03, 0.13677E+00, 0.14344E-01
 0.25000E+02, 0.00000E+00, 0.21209E+03, 0.13950E+00, 0.14059E-01
 0.26000E+02, 0.00000E+00, 0.21544E+03, 0.14090E+00, 0.14016E-01
 0.27000E+02, 0.00000E+00, 0.21863E+03, 0.14422E+00, 0.13782E-01
 0.28000E+02, 0.00000E+00, 0.21277E+03, 0.15292E+00, 0.12843E-01
 0.29000E+02, 0.00000E+00, 0.21015E+03, 0.15177E+00, 0.12871E-01
 0.30000E+02, 0.00000E+00, 0.19982E+03, 0.13667E+00, 0.13987E-01
 0.31000E+02, 0.00000E+00, 0.20900E+03, 0.10359E+00, 0.18813E-01
 0.32000E+02, 0.00000E+00, 0.21273E+03, 0.10462E+00, 0.18771E-01
 0.33000E+02, 0.00000E+00, 0.20112E+03, 0.99128E-01, 0.19338E-01
 0.34000E+02, 0.00000E+00, 0.15108E+03, 0.97027E-01, 0.17672E-01
 0.35000E+02, 0.00000E+00, 0.15699E+03, 0.94263E-01, 0.18443E-01
 0.36000E+02, 0.00000E+00, 0.15286E+03, 0.95827E-01, 0.17969E-01
 0.37000E+02, 0.00000E+00, 0.15463E+03, 0.99997E-01, 0.17291E-01
 0.38000E+02, 0.00000E+00, 0.15317E+03, 0.99297E-01, 0.17353E-01
 0.39000E+02, 0.00000E+00, 0.14560E+03, 0.95850E-01, 0.17658E-01
 0.40000E+02, 0.00000E+00, 0.19933E+03, 0.10581E+00, 0.18049E-01
 0.41000E+02, 0.00000E+00, 0.20353E+03, 0.10302E+00, 0.18702E-01
 0.42000E+02, 0.00000E+00, 0.20547E+03, 0.99743E-01, 0.19395E-01
 0.43000E+02, 0.00000E+00, 0.20594E+03, 0.10383E+00, 0.18649E-01
 0.44000E+02, 0.00000E+00, 0.20617E+03, 0.10885E+00, 0.17798E-01
 0.45000E+02, 0.00000E+00, 0.20791E+03, 0.11304E+00, 0.17201E-01
 0.46000E+02, 0.00000E+00, 0.20998E+03, 0.11989E+00, 0.16287E-01
 0.47000E+02, 0.00000E+00, 0.20954E+03, 0.12889E+00, 0.15137E-01
 0.48000E+02, 0.00000E+00, 0.20849E+03, 0.13271E+00, 0.14669E-01
 0.49000E+02, 0.00000E+00, 0.20470E+03, 0.13333E+00, 0.14485E-01
 0.50000E+02, 0.00000E+00, 0.20082E+03, 0.13435E+00, 0.14259E-01
 0.51000E+02, 0.00000E+00, 0.18061E+03, 0.11867E+00, 0.15455E-01
 0.52000E+02, 0.00000E+00, 0.60360E+03, 0.30000E+02, 0.27407E-08
 0.53000E+02, 0.00000E+00, 0.64435E+03, 0.30000E+02, 0.21098E-08
 0.54000E+02, 0.00000E+00, 0.65666E+03, 0.30000E+02, 0.18252E-08
 0.55000E+02, 0.00000E+00, 0.56563E+03, 0.30000E+02, 0.33826E-08
 0.56000E+02, 0.00000E+00, 0.54528E+03, 0.30000E+02, 0.54450E-08
 0.57000E+02, 0.00000E+00, 0.52569E+03, 0.30000E+02, 0.46350E-08
 0.58000E+02, 0.00000E+00, 0.14335E+03, 0.12760E+00, 0.13193E-01
 0.59000E+02, 0.00000E+00, 0.14515E+03, 0.12856E+00, 0.13151E-01
 0.60000E+02, 0.00000E+00, 0.14959E+03, 0.13223E+00, 0.12922E-01
 0.61000E+02, 0.00000E+00, 0.15093E+03, 0.13299E+00, 0.12889E-01
 0.62000E+02, 0.00000E+00, 0.14824E+03, 0.13411E+00, 0.12700E-01
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.17762E+03, 0.12332E+01, 0.14775E-02
 0.65000E+02, 0.00000E+00, 0.17108E+03, 0.12072E+01, 0.14873E-02
 0.00000E+00, 0.10000E+01, 0.19811E+03, 0.15755E+00, 0.12090E-01
 0.10000E+01, 0.10000E+01, 0.20710E+03, 0.16291E+00, 0.11915E-01
 0.20000E+01, 0.10000E+01, 0.19752E+03, 0.16113E+00, 0.11806E-01
 0.30000E+01, 0.10000E+01, 0.20009E+03, 0.16177E+00, 0.11824E-01
 0.40000E+01, 0.10000E+01, 0.19779E+03, 0.16196E+00, 0.11752E-01
 0.50000E+01, 0.10000E+01, 0.18806E+03, 0.16159E+00, 0.11536E-01
 0.60000E+01, 0.10000E+01, 0.18182E+03, 0.16074E+00, 0.11440E-01
 0.70000E+01, 0.10000E+01, 0.16785E+03, 0.15699E+00, 0.11354E-01
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.14560E+03, 0.18805E+00, 0.90000E-02
 0.10000E+02, 0.10000E+01, 0.15225E+03, 0.19320E+00, 0.88997E-02
 0.11000E+02, 0.10000E+01, 0.14282E+03, 0.11442E+00, 0.14694E-01
 0.12000E+02, 0.10000E+01, 0.13684E+03, 0.10496E+00, 0.15788E-01
 0.13000E+02, 0.10000E+01, 0.12765E+03, 0.10062E+00, 0.16100E-01
 0.14000E+02, 0.10000E+01, 0.12496E+03, 0.95974E-01, 0.16766E-01
 0.15000E+02, 0.10000E+01, 0.11733E+03, 0.91694E-01, 0.17212E-01
 0.16000E+02, 0.10000E+01, 0.11477E+03, 0.91062E-01, 0.17218E-01
 0.17000E+02, 0.10000E+01, 0.14240E+03, 0.14494E+00, 0.11588E-01
 0.18000E+02, 0.10000E+01, 0.14828E+03, 0.15326E+00, 0.11114E-01
 0.19000E+02, 0.10000E+01, 0.14677E+03, 0.15982E+00, 0.10620E-01
 0.20000E+02, 0.10000E+01, 0.13335E+03, 0.14057E+00, 0.11688E-01
 0.21000E+02, 0.10000E+01, 0.14208E+03, 0.14417E+00, 0.11641E-01
 0.22000E+02, 0.10000E+01, 0.13853E+03, 0.13994E+00, 0.11891E-01
 0.23000E+02, 0.10000E+01, 0.22982E+03, 0.13057E+00, 0.15570E-01
 0.24000E+02, 0.10000E+01, 0.23770E+03, 0.12192E+00, 0.16935E-01
 0.25000E+02, 0.10000E+01, 0.22806E+03, 0.13217E+00, 0.15327E-01
 0.26000E+02, 0.10000E+01, 0.23284E+03, 0.12944E+00, 0.15799E-01
 0.27000E+02, 0.10000E+01, 0.22954E+03, 0.13903E+00, 0.14614E-01
 0.28000E+02, 0.10000E+01, 0.22844E+03, 0.12635E+00, 0.16045E-01
 0.29000E+02, 0.10000E+01, 0.22664E+03, 0.12191E+00, 0.16570E-01
 0.30000E+02, 0.10000E+01, 0.22405E+03, 0.12032E+00, 0.16702E-01
