 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.11258E+03, 0.37725E+00, 0.41327E-02
 0.10000E+01, 0.00000E+00, 0.10188E+03, 0.38882E+00, 0.38985E-02
 0.20000E+01, 0.00000E+00, 0.11888E+03, 0.38565E+00, 0.41086E-02
 0.30000E+01, 0.00000E+00, 0.11076E+03, 0.39402E+00, 0.39380E-02
 0.40000E+01, 0.00000E+00, 0.97438E+02, 0.40418E+00, 0.37059E-02
 0.50000E+01, 0.00000E+00, 0.87016E+02, 0.41834E+00, 0.34798E-02
 0.60000E+01, 0.00000E+00, 0.81980E+02, 0.42351E+00, 0.33892E-02
 0.70000E+01, 0.00000E+00, 0.80873E+02, 0.43544E+00, 0.32861E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.19992E+03, 0.77823E-01, 0.24570E-01
 0.10000E+02, 0.00000E+00, 0.18846E+03, 0.75859E-01, 0.24595E-01
 0.11000E+02, 0.00000E+00, 0.37403E+03, 0.11115E+00, 0.23534E-01
 0.12000E+02, 0.00000E+00, 0.36447E+03, 0.11510E+00, 0.22391E-01
 0.13000E+02, 0.00000E+00, 0.34421E+03, 0.11932E+00, 0.20912E-01
 0.14000E+02, 0.00000E+00, 0.31159E+03, 0.11906E+00, 0.19850E-01
 0.15000E+02, 0.00000E+00, 0.28318E+03, 0.11630E+00, 0.19334E-01
 0.16000E+02, 0.00000E+00, 0.25495E+03, 0.11448E+00, 0.18645E-01
 0.17000E+02, 0.00000E+00, 0.22388E+03, 0.98384E-01, 0.20419E-01
 0.18000E+02, 0.00000E+00, 0.23431E+03, 0.10074E+00, 0.20360E-01
 0.19000E+02, 0.00000E+00, 0.21134E+03, 0.98910E-01, 0.19798E-01
 0.20000E+02, 0.00000E+00, 0.21260E+03, 0.86132E-01, 0.22794E-01
 0.21000E+02, 0.00000E+00, 0.23151E+03, 0.99719E-01, 0.20455E-01
 0.22000E+02, 0.00000E+00, 0.22754E+03, 0.10549E+00, 0.19184E-01
 0.23000E+02, 0.00000E+00, 0.32294E+03, 0.20413E+00, 0.11803E-01
 0.24000E+02, 0.00000E+00, 0.33460E+03, 0.23686E+00, 0.10371E-01
 0.25000E+02, 0.00000E+00, 0.35683E+03, 0.22557E+00, 0.11288E-01
 0.26000E+02, 0.00000E+00, 0.36453E+03, 0.20930E+00, 0.12314E-01
