 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.54991E+02, 0.37621E+00, 0.35254E-02
 0.10000E+01, 0.00000E+00, 0.57404E+02, 0.36903E+00, 0.36204E-02
 0.20000E+01, 0.00000E+00, 0.57638E+02, 0.37651E+00, 0.35510E-02
 0.30000E+01, 0.00000E+00, 0.56509E+02, 0.39010E+00, 0.34156E-02
 0.40000E+01, 0.00000E+00, 0.52719E+02, 0.42521E+00, 0.30976E-02
 0.50000E+01, 0.00000E+00, 0.50258E+02, 0.45668E+00, 0.28623E-02
 0.60000E+01, 0.00000E+00, 0.50656E+02, 0.46138E+00, 0.28366E-02
 0.70000E+01, 0.00000E+00, 0.48745E+02, 0.46203E+00, 0.28159E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.18224E+03, 0.81354E-01, 0.22625E-01
 0.10000E+02, 0.00000E+00, 0.18642E+03, 0.82036E-01, 0.22643E-01
 0.11000E+02, 0.00000E+00, 0.10540E+03, 0.25173E+00, 0.60780E-02
 0.12000E+02, 0.00000E+00, 0.10503E+03, 0.25253E+00, 0.60529E-02
 0.13000E+02, 0.00000E+00, 0.10783E+03, 0.23984E+00, 0.64203E-02
 0.14000E+02, 0.00000E+00, 0.10570E+03, 0.23824E+00, 0.64275E-02
 0.15000E+02, 0.00000E+00, 0.10103E+03, 0.24036E+00, 0.62923E-02
 0.16000E+02, 0.00000E+00, 0.93527E+02, 0.24869E+00, 0.59593E-02
 0.17000E+02, 0.00000E+00, 0.17397E+03, 0.11894E+00, 0.15195E-01
 0.18000E+02, 0.00000E+00, 0.16617E+03, 0.11994E+00, 0.14805E-01
 0.19000E+02, 0.00000E+00, 0.15054E+03, 0.11794E+00, 0.14520E-01
 0.20000E+02, 0.00000E+00, 0.15975E+03, 0.13959E+00, 0.12535E-01
 0.21000E+02, 0.00000E+00, 0.19712E+03, 0.13725E+00, 0.13849E-01
