 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.10570E+03, 0.30557E+00, 0.50111E-02
 0.10000E+01, 0.00000E+00, 0.10020E+03, 0.31296E+00, 0.48217E-02
 0.20000E+01, 0.00000E+00, 0.10737E+03, 0.31365E+00, 0.49036E-02
 0.30000E+01, 0.00000E+00, 0.10858E+03, 0.31427E+00, 0.49095E-02
 0.40000E+01, 0.00000E+00, 0.10223E+03, 0.32080E+00, 0.47296E-02
 0.50000E+01, 0.00000E+00, 0.97044E+02, 0.32940E+00, 0.45423E-02
 0.60000E+01, 0.00000E+00, 0.92965E+02, 0.33688E+00, 0.43926E-02
 0.70000E+01, 0.00000E+00, 0.88570E+02, 0.35330E+00, 0.41382E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.23896E+03, 0.84737E-01, 0.24427E-01
 0.10000E+02, 0.00000E+00, 0.23825E+03, 0.84652E-01, 0.24418E-01
 0.11000E+02, 0.00000E+00, 0.42032E+03, 0.10136E+00, 0.27654E-01
 0.12000E+02, 0.00000E+00, 0.41458E+03, 0.10505E+00, 0.26461E-01
 0.13000E+02, 0.00000E+00, 0.38822E+03, 0.10288E+00, 0.25982E-01
 0.14000E+02, 0.00000E+00, 0.36754E+03, 0.11020E+00, 0.23498E-01
 0.15000E+02, 0.00000E+00, 0.33570E+03, 0.10717E+00, 0.22962E-01
 0.16000E+02, 0.00000E+00, 0.22480E+03, 0.10539E+00, 0.19096E-01
 0.17000E+02, 0.00000E+00, 0.22686E+03, 0.10790E+00, 0.18730E-01
 0.18000E+02, 0.00000E+00, 0.23483E+03, 0.10941E+00, 0.18765E-01
 0.19000E+02, 0.00000E+00, 0.21660E+03, 0.10509E+00, 0.18835E-01
 0.20000E+02, 0.00000E+00, 0.26148E+03, 0.11020E+00, 0.19609E-01
 0.21000E+02, 0.00000E+00, 0.28309E+03, 0.11668E+00, 0.19269E-01
 0.22000E+02, 0.00000E+00, 0.27623E+03, 0.11547E+00, 0.19230E-01
 0.23000E+02, 0.00000E+00, 0.23562E+03, 0.24518E+00, 0.83871E-02
 0.24000E+02, 0.00000E+00, 0.25692E+03, 0.25457E+00, 0.84160E-02
 0.25000E+02, 0.00000E+00, 0.27236E+03, 0.26645E+00, 0.82750E-02
 0.26000E+02, 0.00000E+00, 0.26162E+03, 0.28899E+00, 0.74792E-02
 0.27000E+02, 0.00000E+00, 0.24115E+03, 0.30364E+00, 0.68459E-02
 0.28000E+02, 0.00000E+00, 0.20832E+03, 0.31637E+00, 0.61511E-02
 0.29000E+02, 0.00000E+00, 0.19282E+03, 0.31828E+00, 0.59173E-02
 0.30000E+02, 0.00000E+00, 0.19391E+03, 0.31053E+00, 0.60791E-02
 0.31000E+02, 0.00000E+00, 0.19906E+03, 0.30502E+00, 0.62573E-02
 0.32000E+02, 0.00000E+00, 0.19720E+03, 0.30348E+00, 0.62641E-02
 0.33000E+02, 0.00000E+00, 0.18739E+03, 0.30820E+00, 0.60395E-02
 0.34000E+02, 0.00000E+00, 0.33709E+03, 0.11817E+00, 0.20872E-01
 0.35000E+02, 0.00000E+00, 0.34295E+03, 0.12364E+00, 0.20141E-01
 0.36000E+02, 0.00000E+00, 0.33960E+03, 0.12200E+00, 0.20300E-01
 0.37000E+02, 0.00000E+00, 0.33441E+03, 0.12350E+00, 0.19884E-01
 0.38000E+02, 0.00000E+00, 0.31748E+03, 0.12749E+00, 0.18725E-01
 0.39000E+02, 0.00000E+00, 0.30225E+03, 0.12672E+00, 0.18353E-01
 0.40000E+02, 0.00000E+00, 0.30459E+03, 0.18592E+00, 0.12560E-01
 0.41000E+02, 0.00000E+00, 0.29223E+03, 0.19302E+00, 0.11839E-01
 0.42000E+02, 0.00000E+00, 0.27364E+03, 0.20171E+00, 0.10956E-01
 0.43000E+02, 0.00000E+00, 0.26514E+03, 0.20742E+00, 0.10489E-01
 0.44000E+02, 0.00000E+00, 0.25865E+03, 0.22028E+00, 0.97580E-02
 0.45000E+02, 0.00000E+00, 0.27047E+03, 0.22552E+00, 0.97430E-02
 0.46000E+02, 0.00000E+00, 0.28175E+03, 0.22179E+00, 0.10113E-01
 0.47000E+02, 0.00000E+00, 0.28600E+03, 0.20271E+00, 0.11149E-01
 0.48000E+02, 0.00000E+00, 0.28517E+03, 0.18646E+00, 0.12103E-01
 0.49000E+02, 0.00000E+00, 0.27329E+03, 0.18281E+00, 0.12081E-01
 0.50000E+02, 0.00000E+00, 0.23359E+03, 0.20497E+00, 0.99926E-02
 0.51000E+02, 0.00000E+00, 0.23306E+03, 0.17751E+00, 0.11526E-01
 0.52000E+02, 0.00000E+00, 0.34883E+03, 0.10146E+00, 0.24779E-01
 0.53000E+02, 0.00000E+00, 0.36933E+03, 0.10275E+00, 0.25274E-01
 0.54000E+02, 0.00000E+00, 0.36489E+03, 0.10509E+00, 0.24540E-01
 0.55000E+02, 0.00000E+00, 0.33131E+03, 0.11139E+00, 0.21934E-01
 0.56000E+02, 0.00000E+00, 0.33088E+03, 0.11205E+00, 0.21787E-01
 0.57000E+02, 0.00000E+00, 0.33125E+03, 0.11570E+00, 0.21113E-01
 0.58000E+02, 0.00000E+00, 0.41256E+03, 0.91961E-01, 0.30138E-01
 0.59000E+02, 0.00000E+00, 0.45611E+03, 0.92962E-01, 0.31707E-01
 0.60000E+02, 0.00000E+00, 0.46548E+03, 0.95645E-01, 0.31214E-01
 0.61000E+02, 0.00000E+00, 0.44030E+03, 0.90950E-01, 0.31706E-01
 0.62000E+02, 0.00000E+00, 0.41735E+03, 0.87039E-01, 0.32065E-01
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.21233E+03, 0.19207E+00, 0.10216E-01
 0.65000E+02, 0.00000E+00, 0.19596E+03, 0.17979E+00, 0.10546E-01
 0.00000E+00, 0.10000E+01, 0.12341E+03, 0.31259E+00, 0.51275E-02
 0.10000E+01, 0.10000E+01, 0.11753E+03, 0.32048E+00, 0.49271E-02
 0.20000E+01, 0.10000E+01, 0.11102E+03, 0.32473E+00, 0.47817E-02
 0.30000E+01, 0.10000E+01, 0.10808E+03, 0.32661E+00, 0.47177E-02
 0.40000E+01, 0.10000E+01, 0.10229E+03, 0.32780E+00, 0.46293E-02
 0.50000E+01, 0.10000E+01, 0.10390E+03, 0.33261E+00, 0.45819E-02
 0.60000E+01, 0.10000E+01, 0.95378E+02, 0.33963E+00, 0.43857E-02
 0.70000E+01, 0.10000E+01, 0.88713E+02, 0.35510E+00, 0.41188E-02
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.21969E+03, 0.80816E-01, 0.24648E-01
 0.10000E+02, 0.10000E+01, 0.22299E+03, 0.81546E-01, 0.24591E-01
 0.11000E+02, 0.10000E+01, 0.42130E+03, 0.11535E+00, 0.24332E-01
 0.12000E+02, 0.10000E+01, 0.41833E+03, 0.12682E+00, 0.22037E-01
 0.13000E+02, 0.10000E+01, 0.38088E+03, 0.13646E+00, 0.19372E-01
 0.14000E+02, 0.10000E+01, 0.33067E+03, 0.12640E+00, 0.19309E-01
 0.15000E+02, 0.10000E+01, 0.30829E+03, 0.11393E+00, 0.20627E-01
 0.16000E+02, 0.10000E+01, 0.28813E+03, 0.10997E+00, 0.20630E-01
 0.17000E+02, 0.10000E+01, 0.24483E+03, 0.11244E+00, 0.18619E-01
 0.18000E+02, 0.10000E+01, 0.24224E+03, 0.11142E+00, 0.18696E-01
 0.19000E+02, 0.10000E+01, 0.25202E+03, 0.11365E+00, 0.18677E-01
 0.20000E+02, 0.10000E+01, 0.26376E+03, 0.11063E+00, 0.19616E-01
 0.21000E+02, 0.10000E+01, 0.30111E+03, 0.12378E+00, 0.18751E-01
 0.22000E+02, 0.10000E+01, 0.30571E+03, 0.12633E+00, 0.18520E-01
 0.23000E+02, 0.10000E+01, 0.17119E+03, 0.34118E+00, 0.52639E-02
 0.24000E+02, 0.10000E+01, 0.18419E+03, 0.31276E+00, 0.59102E-02
 0.25000E+02, 0.10000E+01, 0.19512E+03, 0.30601E+00, 0.61849E-02
 0.26000E+02, 0.10000E+01, 0.20513E+03, 0.31358E+00, 0.61646E-02
 0.27000E+02, 0.10000E+01, 0.20073E+03, 0.31770E+00, 0.60288E-02
 0.28000E+02, 0.10000E+01, 0.19810E+03, 0.31550E+00, 0.60372E-02
 0.29000E+02, 0.10000E+01, 0.18234E+03, 0.32603E+00, 0.56468E-02
 0.30000E+02, 0.10000E+01, 0.19014E+03, 0.31949E+00, 0.58611E-02
 0.31000E+02, 0.10000E+01, 0.18751E+03, 0.32074E+00, 0.58050E-02
 0.32000E+02, 0.10000E+01, 0.18520E+03, 0.32672E+00, 0.56701E-02
