 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.19544E+02, 0.30000E+02, 0.15801E-28
 0.10000E+01, 0.00000E+00, 0.20747E+02, 0.30000E+02, 0.17588E-29
 0.20000E+01, 0.00000E+00, 0.20828E+02, 0.30000E+02, 0.26624E-29
 0.30000E+01, 0.00000E+00, 0.20809E+02, 0.30000E+02, 0.91093E-31
 0.40000E+01, 0.00000E+00, 0.20850E+02, 0.30000E+02, 0.94784E-31
 0.50000E+01, 0.00000E+00, 0.20858E+02, 0.30000E+02, 0.15938E-31
 0.60000E+01, 0.00000E+00, 0.20824E+02, 0.30000E+02, 0.79192E-31
 0.70000E+01, 0.00000E+00, 0.20864E+02, 0.30000E+02, 0.13802E-29
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.20652E+03, 0.11409E+00, 0.16994E-01
 0.10000E+02, 0.00000E+00, 0.20734E+03, 0.11496E+00, 0.16893E-01
 0.11000E+02, 0.00000E+00, 0.12480E+03, 0.44909E+00, 0.35816E-02
 0.12000E+02, 0.00000E+00, 0.12634E+03, 0.43422E+00, 0.37185E-02
 0.13000E+02, 0.00000E+00, 0.11317E+03, 0.46056E+00, 0.33903E-02
 0.14000E+02, 0.00000E+00, 0.10499E+03, 0.48070E+00, 0.31795E-02
 0.15000E+02, 0.00000E+00, 0.81820E+02, 0.57032E+00, 0.25157E-02
 0.16000E+02, 0.00000E+00, 0.62900E+02, 0.75222E+00, 0.18057E-02
 0.17000E+02, 0.00000E+00, 0.22068E+03, 0.23259E+00, 0.85814E-02
 0.18000E+02, 0.00000E+00, 0.25365E+03, 0.19926E+00, 0.10686E-01
 0.19000E+02, 0.00000E+00, 0.28403E+03, 0.17148E+00, 0.13133E-01
 0.20000E+02, 0.00000E+00, 0.20699E+03, 0.28025E+00, 0.69247E-02
 0.21000E+02, 0.00000E+00, 0.20650E+03, 0.29634E+00, 0.65421E-02
 0.22000E+02, 0.00000E+00, 0.19976E+03, 0.31859E+00, 0.59995E-02
 0.23000E+02, 0.00000E+00, 0.12218E+03, 0.58788E+00, 0.27180E-02
 0.24000E+02, 0.00000E+00, 0.11083E+03, 0.63739E+00, 0.24349E-02
 0.25000E+02, 0.00000E+00, 0.99985E+02, 0.71041E+00, 0.21229E-02
 0.26000E+02, 0.00000E+00, 0.88639E+02, 0.79613E+00, 0.18367E-02
