 X,Y, TEMPERATURE, SOOT VISIBILITY, CARBON MONOXIDE VOLUME FRACTION
 m,m, C, m, mol/mol
 0.00000E+00, 0.00000E+00, 0.96058E+02, 0.39832E+00, 0.37465E-02
 0.10000E+01, 0.00000E+00, 0.10673E+03, 0.39254E+00, 0.39115E-02
 0.20000E+01, 0.00000E+00, 0.10712E+03, 0.40674E+00, 0.37788E-02
 0.30000E+01, 0.00000E+00, 0.10382E+03, 0.41076E+00, 0.37093E-02
 0.40000E+01, 0.00000E+00, 0.10066E+03, 0.41517E+00, 0.36391E-02
 0.50000E+01, 0.00000E+00, 0.93304E+02, 0.39050E+00, 0.37930E-02
 0.60000E+01, 0.00000E+00, 0.90619E+02, 0.39724E+00, 0.37013E-02
 0.70000E+01, 0.00000E+00, 0.89503E+02, 0.39460E+00, 0.37146E-02
 0.80000E+01, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.00000E+00, 0.23356E+03, 0.10290E+00, 0.19904E-01
 0.10000E+02, 0.00000E+00, 0.23458E+03, 0.10345E+00, 0.19838E-01
 0.11000E+02, 0.00000E+00, 0.41601E+03, 0.97196E-01, 0.28658E-01
 0.12000E+02, 0.00000E+00, 0.39808E+03, 0.99697E-01, 0.27212E-01
 0.13000E+02, 0.00000E+00, 0.37956E+03, 0.98116E-01, 0.26888E-01
 0.14000E+02, 0.00000E+00, 0.35079E+03, 0.10504E+00, 0.24008E-01
 0.15000E+02, 0.00000E+00, 0.30824E+03, 0.97330E-01, 0.24143E-01
 0.16000E+02, 0.00000E+00, 0.27087E+03, 0.96087E-01, 0.22884E-01
 0.17000E+02, 0.00000E+00, 0.22893E+03, 0.10242E+00, 0.19813E-01
 0.18000E+02, 0.00000E+00, 0.24658E+03, 0.10696E+00, 0.19640E-01
 0.19000E+02, 0.00000E+00, 0.22992E+03, 0.11098E+00, 0.18321E-01
 0.20000E+02, 0.00000E+00, 0.28534E+03, 0.10794E+00, 0.20913E-01
 0.21000E+02, 0.00000E+00, 0.27417E+03, 0.10594E+00, 0.20882E-01
 0.22000E+02, 0.00000E+00, 0.27644E+03, 0.10323E+00, 0.21519E-01
 0.23000E+02, 0.00000E+00, 0.23158E+03, 0.30144E+00, 0.67677E-02
 0.24000E+02, 0.00000E+00, 0.23978E+03, 0.30648E+00, 0.67645E-02
 0.25000E+02, 0.00000E+00, 0.24281E+03, 0.31437E+00, 0.66337E-02
 0.26000E+02, 0.00000E+00, 0.22887E+03, 0.33400E+00, 0.60750E-02
 0.27000E+02, 0.00000E+00, 0.21134E+03, 0.36222E+00, 0.54062E-02
 0.28000E+02, 0.00000E+00, 0.22037E+03, 0.33984E+00, 0.58695E-02
 0.29000E+02, 0.00000E+00, 0.21381E+03, 0.32656E+00, 0.60270E-02
 0.30000E+02, 0.00000E+00, 0.20457E+03, 0.32787E+00, 0.58891E-02
 0.31000E+02, 0.00000E+00, 0.20418E+03, 0.31278E+00, 0.61682E-02
 0.32000E+02, 0.00000E+00, 0.19920E+03, 0.30462E+00, 0.62674E-02
 0.33000E+02, 0.00000E+00, 0.18687E+03, 0.30478E+00, 0.61006E-02
 0.34000E+02, 0.00000E+00, 0.32256E+03, 0.14329E+00, 0.16803E-01
 0.35000E+02, 0.00000E+00, 0.31925E+03, 0.14906E+00, 0.16063E-01
 0.36000E+02, 0.00000E+00, 0.29745E+03, 0.15246E+00, 0.15127E-01
 0.37000E+02, 0.00000E+00, 0.29258E+03, 0.15906E+00, 0.14375E-01
 0.38000E+02, 0.00000E+00, 0.28406E+03, 0.16105E+00, 0.13984E-01
 0.39000E+02, 0.00000E+00, 0.28083E+03, 0.16156E+00, 0.13859E-01
 0.40000E+02, 0.00000E+00, 0.28513E+03, 0.20811E+00, 0.10843E-01
 0.41000E+02, 0.00000E+00, 0.26359E+03, 0.25243E+00, 0.85943E-02
 0.42000E+02, 0.00000E+00, 0.23158E+03, 0.25545E+00, 0.79861E-02
 0.43000E+02, 0.00000E+00, 0.22257E+03, 0.25852E+00, 0.77504E-02
 0.44000E+02, 0.00000E+00, 0.22849E+03, 0.27397E+00, 0.74005E-02
 0.45000E+02, 0.00000E+00, 0.24065E+03, 0.26752E+00, 0.77626E-02
 0.46000E+02, 0.00000E+00, 0.25278E+03, 0.25876E+00, 0.82152E-02
 0.47000E+02, 0.00000E+00, 0.24794E+03, 0.26387E+00, 0.79820E-02
 0.48000E+02, 0.00000E+00, 0.23114E+03, 0.27045E+00, 0.75364E-02
 0.49000E+02, 0.00000E+00, 0.20332E+03, 0.28595E+00, 0.67346E-02
 0.50000E+02, 0.00000E+00, 0.20382E+03, 0.27167E+00, 0.70961E-02
 0.51000E+02, 0.00000E+00, 0.20649E+03, 0.24988E+00, 0.77581E-02
 0.52000E+02, 0.00000E+00, 0.31357E+03, 0.15113E+00, 0.15692E-01
 0.53000E+02, 0.00000E+00, 0.32369E+03, 0.16666E+00, 0.14474E-01
 0.54000E+02, 0.00000E+00, 0.30071E+03, 0.17549E+00, 0.13217E-01
 0.55000E+02, 0.00000E+00, 0.27218E+03, 0.18079E+00, 0.12191E-01
 0.56000E+02, 0.00000E+00, 0.27258E+03, 0.17052E+00, 0.12936E-01
 0.57000E+02, 0.00000E+00, 0.27234E+03, 0.16008E+00, 0.13773E-01
 0.58000E+02, 0.00000E+00, 0.30487E+03, 0.14935E+00, 0.15643E-01
 0.59000E+02, 0.00000E+00, 0.29920E+03, 0.15711E+00, 0.14725E-01
 0.60000E+02, 0.00000E+00, 0.28458E+03, 0.17981E+00, 0.12537E-01
 0.61000E+02, 0.00000E+00, 0.27626E+03, 0.19626E+00, 0.11315E-01
 0.62000E+02, 0.00000E+00, 0.27893E+03, 0.19044E+00, 0.11717E-01
 0.63000E+02, 0.00000E+00, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.64000E+02, 0.00000E+00, 0.31190E+03, 0.13883E+00, 0.17032E-01
 0.65000E+02, 0.00000E+00, 0.29976E+03, 0.13549E+00, 0.17091E-01
 0.00000E+00, 0.10000E+01, 0.10459E+03, 0.41105E+00, 0.37143E-02
 0.10000E+01, 0.10000E+01, 0.10861E+03, 0.40119E+00, 0.38461E-02
 0.20000E+01, 0.10000E+01, 0.10744E+03, 0.40916E+00, 0.37596E-02
 0.30000E+01, 0.10000E+01, 0.10507E+03, 0.41501E+00, 0.36836E-02
 0.40000E+01, 0.10000E+01, 0.10106E+03, 0.42038E+00, 0.35979E-02
 0.50000E+01, 0.10000E+01, 0.99191E+02, 0.42804E+00, 0.35159E-02
 0.60000E+01, 0.10000E+01, 0.88612E+02, 0.42090E+00, 0.34739E-02
 0.70000E+01, 0.10000E+01, 0.85973E+02, 0.41103E+00, 0.35314E-02
 0.80000E+01, 0.10000E+01, 0.22000E+02, 0.30000E+02, 0.00000E+00
 0.90000E+01, 0.10000E+01, 0.21617E+03, 0.98154E-01, 0.20150E-01
 0.10000E+02, 0.10000E+01, 0.21652E+03, 0.98379E-01, 0.20118E-01
 0.11000E+02, 0.10000E+01, 0.46102E+03, 0.10432E+00, 0.28444E-01
 0.12000E+02, 0.10000E+01, 0.42463E+03, 0.11822E+00, 0.23856E-01
 0.13000E+02, 0.10000E+01, 0.39557E+03, 0.11819E+00, 0.22869E-01
 0.14000E+02, 0.10000E+01, 0.33871E+03, 0.11259E+00, 0.21964E-01
 0.15000E+02, 0.10000E+01, 0.32126E+03, 0.10524E+00, 0.22828E-01
 0.16000E+02, 0.10000E+01, 0.29932E+03, 0.10410E+00, 0.22227E-01
 0.17000E+02, 0.10000E+01, 0.23209E+03, 0.10007E+00, 0.20407E-01
 0.18000E+02, 0.10000E+01, 0.24955E+03, 0.10417E+00, 0.20280E-01
 0.19000E+02, 0.10000E+01, 0.25182E+03, 0.11578E+00, 0.18326E-01
 0.20000E+02, 0.10000E+01, 0.30308E+03, 0.11265E+00, 0.20675E-01
 0.21000E+02, 0.10000E+01, 0.30810E+03, 0.11090E+00, 0.21184E-01
 0.22000E+02, 0.10000E+01, 0.29463E+03, 0.11268E+00, 0.20366E-01
